iso,region,d_obs,d_pred,d_itn,years
COD,Maniema,-0.11769970703369109,-0.11858898023877573,0.19920000000000004,7
COD,Mongala,0.25539928443355786,-0.1083626269348048,0.19920000000000004,7
COD,Nord-Kivu,0.006298525643490996,-0.058627412191575905,0.19920000000000004,7
COD,Nord-Ubangi,0.05173059734917601,-0.11531141124738031,0.19920000000000004,7
COD,Sankuru,0.12502697332256713,-0.1332252921374315,0.19920000000000004,7
COD,Sud-Kivu,0.034992950934183004,-0.0743369914955876,0.19920000000000004,7
COD,Sud-Ubangi,0.23001239367704895,-0.14192126861940307,0.19920000000000004,7
COD,Tanganyka,-0.14924706170684804,-0.10616298977775701,0.19920000000000004,7
COD,Tshopo,0.014728158220541021,-0.10735191019315332,0.19920000000000004,7
COD,Tshuapa,0.32753522888004305,-0.1468088462008882,0.19920000000000004,7
COG,Bouenza,0.007306875098854915,-0.0844334684196343,0.3317000000000001,7
COG,Brazzaville,-0.0037374580566988946,-0.0661941853537619,0.3317000000000001,7
COG,Cuvette,0.04889741167876502,-0.1214824003136262,0.3317000000000001,7
COG,Cuvette-Ouest,0.044139696826583,-0.1459939566899091,0.3317000000000001,7
COG,Kouilou,-0.04211269635427298,-0.12823279730477238,0.3317000000000001,7
COG,Lekoumou,-0.04977948785253311,-0.1264220679004436,0.3317000000000001,7
COG,Likouala,0.12101732775298799,-0.1311989774451949,0.3317000000000001,7
COG,Niari,-0.06742494359597692,-0.146881541113589,0.3317000000000001,7
COG,Plateaux,0.029722377857449994,-0.0906498847162,0.3317000000000001,7
COG,Point-Noire,-0.026515296338006894,-0.0882288328258505,0.3317000000000001,7
COG,Pool,-0.03181981530436101,-0.1162467168797208,0.3317000000000001,7
COG,Sangha,0.028801274281629985,-0.1627675587402672,0.3317000000000001,7
ETH,Afar,-0.004102817079959797,-0.003467278463153603,-0.18589999999999993,7
ETH,Benishangul Gumz,-0.045852698192658706,-0.0197701029343596,-0.18589999999999993,7
ETH,Dire Dawa,-0.019996928211172802,-0.008307400148714603,-0.18589999999999993,7
ETH,Gambela,-0.0457750109361923,-0.0179378209882761,-0.18589999999999993,7
ETH,Harari,-0.0161171264683091,-0.007043712550328502,-0.18589999999999993,7
ETH,Oromia,-0.0298224304999056,-0.010613611802080904,-0.18589999999999993,7
ETH,SNNP,-0.0101846326167396,-0.006362577693696501,-0.18589999999999993,7
ETH,Sidama,-0.020554915318882296,-0.007121274837963699,-0.18589999999999993,7
ETH,Somali,-0.010399400884172502,-0.0059816207848843,-0.18589999999999993,7
ETH,Tigray,-0.005710097796297999,-0.0030406946004223993,-0.18589999999999993,7
GAB,Estuaire,-0.025322445165946006,-0.020787322203112496,-0.0694999999999999,7
GAB,Haut-Ogooue,-0.036842420952344995,-0.02678040701192899,-0.0694999999999999,7
GAB,Moyen-Ogooue,-0.031033878555003086,-0.03327716702401251,-0.0694999999999999,7
GAB,Ngounie,-0.016051462413146006,-0.0388160426226421,-0.0694999999999999,7
GAB,Nyanga,0.029041085425804886,-0.025438696127333404,-0.0694999999999999,7
GAB,Ogooue-Ivindo,0.09524001236537902,-0.03427954330807692,-0.0694999999999999,7
GAB,Ogooue-Maritime,-0.02962966465056309,-0.019533981166829306,-0.0694999999999999,7
GAB,Ogooue-lolo,-0.019916847567334,-0.035015816324477395,-0.0694999999999999,7
GAB,Woleu-Ntem,0.047663315732618006,-0.031220817734585793,-0.0694999999999999,7
GHA,Ahafo,-0.21421691162649692,-0.13782825584319972,0.08960000000000001,7
GHA,Ashanti,-0.0943155864601108,-0.1108999091715441,0.08960000000000001,7
GHA,Bono,-0.10920679321797602,-0.1551791870925597,0.08960000000000001,7
GHA,Bono East,-0.13486187511964912,-0.1562714851232192,0.08960000000000001,7
GHA,Central,-0.220909154186258,-0.1522600580189617,0.08960000000000001,7
GHA,Eastern,-0.18205771041916108,-0.1502974228116397,0.08960000000000001,7
GHA,Greater Accra,-0.05568855860682009,-0.0784081691615906,0.08960000000000001,7
GHA,Northern,-0.26186400420855405,-0.11614285517298009,0.08960000000000001,7
GHA,Northern East,-0.11106095102650501,-0.13464104980160568,0.08960000000000001,7
GHA,Oti,-0.2726245269892891,-0.09842166999529811,0.08960000000000001,7
GHA,Savannah,-0.185970890385475,-0.1324306215887913,0.08960000000000001,7
GHA,Upper East,-0.04499994656390499,-0.0908811543518606,0.08960000000000001,7
GHA,Upper West,-0.20549582189550397,-0.1457220099491663,0.08960000000000001,7
GHA,Volta,-0.09121348346356004,-0.1444438711995959,0.08960000000000001,7
GHA,Western,-0.13679708688579897,-0.1476430170985862,0.08960000000000001,7
GHA,Western North,-0.2702152401823579,-0.10643503387179676,0.08960000000000001,7
GIN,Boke,-0.013492267008370001,-0.13415713631739268,0.3062,7
GIN,Conakry,-0.0594577491999031,-0.1123730505712914,0.3062,7
GIN,Faranah,-0.3288795524522,-0.10360811643581114,0.3062,7
GIN,Kankan,-0.21225870916176398,-0.11093936636830948,0.3062,7
GIN,Kindia,-0.19186539352801507,-0.11246294259268602,0.3062,7
GIN,Labe,-0.029567720253435903,-0.12903651007113598,0.3062,7
GIN,Mamou,-0.131477978165828,-0.1250616305273199,0.3062,7
GIN,Nzerekore,-0.19814337532671605,-0.10537906793818819,0.3062,7
GMB,Central River,-0.1116565734141774,-0.099804501709243,0.3174,7
GMB,Kanifing Municipal Council,-0.1098479174222292,-0.0875200665456885,0.3174,7
GMB,Lower River,-0.10295707327247669,-0.09947755237188022,0.3174,7
GMB,North Bank,-0.10388957250613101,-0.0954077532286138,0.3174,7
GMB,Upper River,-0.1663458854659017,-0.1113955003071847,0.3174,7
GMB,West Coast,-0.12637544945125131,-0.10406556591976882,0.3174,7
GNB,Bafata,0.008761538147388795,-0.0068971398271492,-0.3289000000000001,7
GNB,Biombo,0.014877012749149106,-0.004673339933628402,-0.3289000000000001,7
GNB,Bissau,0.011177549083411197,-0.003105559730131102,-0.3289000000000001,7
GNB,Bolama,-0.0435196011997088,-0.0035538013869119006,-0.3289000000000001,7
GNB,Cacheu,0.0175437472169003,-0.0024938908071633,-0.3289000000000001,7
GNB,Gabu,0.0039032058199379993,-0.007599726221375204,-0.3289000000000001,7
GNB,Oio,0.027859325276024208,-0.003492654404197302,-0.3289000000000001,7
GNB,Quinara,-0.0068744795415253,-0.008229862810096009,-0.3289000000000001,7
GNB,Tombali,-0.025575528240467993,-0.009878576186479401,-0.3289000000000001,7
GNQ,Bioko Norte,-0.078006745844385,-0.07451901599431889,-0.02260000000000001,7
GNQ,Bioko Sur,-0.021795887426514005,-0.062275000604943495,-0.02260000000000001,7
GNQ,Centro Sur,-0.14220385399505392,-0.08339558744976033,-0.02260000000000001,7
GNQ,Kie-Ntem,-0.07746888280024705,-0.07571591469936079,-0.02260000000000001,7
GNQ,Litoral,-0.139542750139711,-0.07458233644321632,-0.02260000000000001,7
GNQ,Wele-Nzas,-0.135821826571563,-0.08308201611743421,-0.02260000000000001,7
KEN,Bungoma,-0.0076789172715062,-0.0418787431329469,-0.0014999999999999458,7
KEN,Busia,-0.15417735949518502,-0.10629679027252889,-0.0014999999999999458,7
KEN,Homa Bay,-0.0520332919102013,-0.059907983038599906,-0.0014999999999999458,7
KEN,Kakamega,-0.07006673141330498,-0.0692694864816628,-0.0014999999999999458,7
KEN,Kilifi,0.012110120231246704,-0.029189401868227,-0.0014999999999999458,7
KEN,Kisii,0.013404782387683903,-0.017361568322178198,-0.0014999999999999458,7
KEN,Kisumu,-0.05877620761952261,-0.0645940202367019,-0.0014999999999999458,7
KEN,Kwale,-0.0796160609234119,-0.0609167198591838,-0.0014999999999999458,7
