ISO3,region,admin_unit,PfPR_obs,PfPR_sim,incidence_obs,incidence_sim,mortality,biting_rate,p_sympt,ITN_coverage,population,pop_multiplier,treatment_seeking
COD,Sud-Kivu,Democratic Republic of the Congo,0.172113161751314,0.17192937557673882,197.157247903696,196.93233652606932,50.739,0.2413603182663791,0.4945725545575915,0.6158,4691413.843648549,2.2362850399368757,10
NGA,Nassarawa,Nigeria,0.183382156296271,0.18334821513171612,229.324223173348,229.27355001931318,76.6916,0.25209587929015415,0.5239743361404918,0.5364,5253882.37530518,2.5044003682151317,10
NER,Maradi,Niger,0.193816007735639,0.19386955165395636,281.60340312179,281.7050534813582,169.65859999999998,0.2730176513441903,0.5671559034715958,0.6602,4523936.260757451,2.1564524722662144,10
GNQ,Litoral,Equatorial Guinea,0.207846745158324,0.2078355683606864,231.554234661907,231.54202569034044,69.5023,0.5081592021147128,0.4971911437724849,0.45640000000000003,426222.663642883,0.2031701738862905,10
BFA,Hauts-Bassins,Burkina Faso,0.21424753640307903,0.21425650382249842,273.753724145687,273.76901933190567,153.4664,0.28451175717023547,0.5385784642284565,0.3766,2460679.20454407,1.1729470638484796,10
CMR,Centre,Cameroon,0.222944877995462,0.2228243868273282,253.39498213716,253.26425240311113,89.2634,0.25801561635684755,0.49763655312771715,0.6994,5938576.41768265,2.830777681096111,10
KEN,Siaya,Kenya,0.230687316396273,0.23064276034312842,258.116575047273,258.07447351796276,40.0387,0.3199402997061289,0.5001169699053252,0.5366,950829.396972656,0.4532376863023646,10
COD,Kasai Oriental,Democratic Republic of the Congo,0.240450177555143,0.24042906556723145,262.72883430233503,262.70943482761305,61.3983,0.26467235271147177,0.4908658276763146,0.6158,4612705.06797791,2.1987664446029136,10
CAF,Haute-Kotto,Central African Republic,0.252457838866077,0.1708765847710986,276.957345948604,185.943051686049,58.8761,2.049935618077782,0.484358659038887,0.6073,123988.31844156998,0.05910227298177874,10
BFA,Centre-Nord,Burkina Faso,0.270979670295763,0.2709555178324054,325.482384452596,325.4525431007899,110.1126,0.34288035187584914,0.5249104341038476,0.3766,1758017.0845947296,0.8380047971157312,10
NGA,Kaduna,Nigeria,0.287699353730415,0.28766987261505295,335.000209959345,334.97402402316584,120.5578,0.30282320714119554,0.5157425907705594,0.5364,9442490.21607971,4.501009783768557,10
BFA,Sahel,Burkina Faso,0.299297253760851,0.29928130697225225,352.582686765475,352.56184127232484,163.0129,0.4001207618496249,0.5203068537553288,0.3766,1501596.09796143,0.7157750311124105,10
AGO,Lunda Norte,Angola,0.316223761677564,0.31621530204946496,330.707603744732,330.69824294719996,70.5424,0.558255798152169,0.4858705567316763,0.428,761927.048768044,0.3631924442116805,10
COD,Haut-Katanga,Democratic Republic of the Congo,0.330318576680277,0.3302832832374831,326.80857349894,326.7767021324286,47.1806,0.30715163940348594,0.4704791734759566,0.6158,7751029.464239579,3.6947308024116885,10
CAF,Mbomou,Central African Republic,0.3487629999197929,0.1823265651934994,346.711191684178,190.18684790281176,164.3067,3.3259268402802897,0.47371008684323374,0.6073,218677.301620483,0.10423825193970346,10
GAB,Ogooue-Ivindo,Gabon,0.365613806008968,0.14977383840048056,316.383866671062,180.1478242271895,48.3876,14.999922131783098,0.5097416927938986,0.1475,57202.88398075101,0.027267249906035223,10
GIN,Faranah,Guinea,0.381515147673149,0.38151560535991524,391.134430590459,391.13489931836074,137.2376,0.7443348581118017,0.4821484820741231,0.7334999999999999,1107266.36669922,0.5278074571116909,10
SLE,Eastern,Sierra Leone,0.398808238616962,0.3988000468525123,362.608342082568,362.6002917674651,166.1302,0.4768855766706282,0.44897225737792285,0.493,1796369.2683715795,0.8562863680210977,10
AGO,Malanje,Angola,0.417623671949335,0.40723346081236556,396.704065603018,381.2723237372858,84.5939,14.999671387164135,0.4571359789811941,0.428,866606.272587776,0.41309053251126543,10
COD,Mongala,Democratic Republic of the Congo,0.43164553537561295,0.43164137061039254,375.629438159621,375.62545746552087,90.0347,0.5748291353847039,0.4373536346218815,0.6158,1747625.3560752901,0.8330513080820213,10
AGO,Uige,Angola,0.462597323347717,0.43069952317028243,406.476803536566,368.7097045590555,93.5961,14.99999973661159,0.432721723866651,0.428,880563.7855091091,0.41974374588807306,10
LBR,Gbapolu,Liberia,0.53566083972159,0.15879854214433578,407.766425555054,196.5053397494951,167.7749,1.937812004583902,0.5200931936253275,0.6099,114789.705200195,0.054717513532833155,10
LBR,Grand Kru,Liberia,0.655842020130255,0.13048537396066848,435.83460376046304,205.69577372516056,168.1587,1.5206363182104419,0.5865431318827838,0.6099,64224.4601383209,0.03061426772225483,10
