lat,lon,GLDAS_NOAH10_M_2_1_AvgSurfT_inst
-32.5,140.5,294.4189
-32.5,141.5,294.58176
-32.5,142.5,294.78894
-32.5,143.5,294.68362
-32.5,144.5,294.4984
-32.5,145.5,293.6989
-32.5,146.5,293.01373
-32.5,147.5,292.35266
-32.5,148.5,290.48853
-32.5,149.5,289.48343
-32.5,150.5,289.45535
-32.5,151.5,289.62796
-31.5,-71.5,288.25876
-31.5,-70.5,284.41766
-31.5,-69.5,280.12433
-31.5,-68.5,289.76987
-31.5,-67.5,293.4737
-31.5,-66.5,295.077
-31.5,-65.5,292.91833
-31.5,-64.5,289.79706
-31.5,-63.5,292.24957
-31.5,-62.5,292.76266
-31.5,-61.5,292.45807
-31.5,-60.5,292.10156
-31.5,-59.5,291.8336
-31.5,-58.5,291.54962
-31.5,-57.5,291.36972
-31.5,-56.5,291.17148
-31.5,-55.5,290.53424
-31.5,-54.5,290.50952
-31.5,-53.5,291.1469
-31.5,-52.5,291.62485
-31.5,18.5,293.01443
-31.5,19.5,294.1547
-31.5,20.5,292.77344
-31.5,21.5,292.22592
-31.5,22.5,291.92618
-31.5,23.5,291.9352
-31.5,24.5,290.43707
-31.5,25.5,289.84537
-31.5,26.5,289.28494
-31.5,27.5,288.13742
-31.5,28.5,289.35303
-31.5,29.5,290.8875
-31.5,116.5,291.9021
-31.5,117.5,292.59436
-31.5,118.5,292.92328
-31.5,119.5,292.4862
-31.5,120.5,292.7361
-31.5,121.5,293.07806
-31.5,122.5,292.74323
-31.5,123.5,293.454
-31.5,124.5,294.05173
-31.5,125.5,293.9683
-31.5,126.5,293.96014
-31.5,127.5,293.88226
-31.5,128.5,293.53662
-31.5,129.5,293.38412
-31.5,130.5,293.55484
-31.5,131.5,293.5956
-31.5,132.5,294.01578
-31.5,133.5,294.165
-31.5,134.5,294.4131
-31.5,135.5,295.17648
-31.5,136.5,295.43402
-31.5,137.5,295.3327
-31.5,138.5,294.11597
-31.5,139.5,294.9984
-31.5,140.5,295.37857
-31.5,141.5,295.16583
-31.5,142.5,295.03275
-31.5,143.5,295.2498
-31.5,144.5,295.09344
-31.5,145.5,294.40805
-31.5,146.5,293.95645
-31.5,147.5,293.41962
-31.5,148.5,292.24106
-31.5,149.5,290.89368
-31.5,150.5,289.30908
-31.5,151.5,288.87863
-31.5,152.5,289.9309
-30.5,-71.5,290.26877
-30.5,-70.5,286.77264
-30.5,-69.5,284.0553
-30.5,-68.5,291.65717
-30.5,-67.5,293.1094
-30.5,-66.5,296.09467
-30.5,-65.5,295.82773
-30.5,-64.5,293.2838
-30.5,-63.5,292.81897
-30.5,-61.5,293.38007
-30.5,-60.5,293.18378
-30.5,-59.5,292.52057
-30.5,-58.5,292.2085
