lat,lon,GLDAS_NOAH10_M_2_1_CanopInt_inst
-31.5,128.5,0.02539258
-31.5,129.5,0.026439836
-31.5,130.5,0.028422244
-31.5,131.5,0.025461696
-31.5,132.5,0.023106918
-31.5,133.5,0.021506997
-31.5,134.5,0.019010931
-31.5,135.5,0.014483605
-31.5,136.5,0.01351026
-31.5,137.5,0.015259335
-31.5,138.5,0.016575566
-31.5,139.5,0.019247346
-31.5,140.5,0.016887557
-31.5,141.5,0.015570097
-31.5,142.5,0.016760465
-31.5,143.5,0.018824078
-31.5,144.5,0.021042656
-31.5,145.5,0.02451719
-31.5,146.5,0.032289673
-31.5,147.5,0.03825493
-31.5,148.5,0.045877486
-31.5,149.5,0.059331644
-31.5,150.5,0.07518987
-31.5,151.5,0.08970579
-31.5,152.5,0.108794525
-30.5,-71.5,0.021307636
-30.5,-70.5,0.022838319
-30.5,-69.5,0.0059292708
-30.5,-68.5,0.010048722
-30.5,-67.5,0.020926379
-30.5,-66.5,0.028811485
-30.5,-65.5,0.031383794
-30.5,-64.5,0.038275275
-30.5,-63.5,0.046366706
-30.5,-61.5,0.059853286
-30.5,-60.5,0.069974296
-30.5,-59.5,0.08799845
-30.5,-58.5,0.09592104
-30.5,-57.5,0.10032003
-30.5,-56.5,0.095410034
-30.5,-55.5,0.10433349
-30.5,-54.5,0.105059944
-30.5,-53.5,0.11739367
-30.5,-52.5,0.1197555
-30.5,-51.5,0.117730334
-30.5,17.5,0.012788235
-30.5,18.5,0.012758647
-30.5,19.5,0.008726105
-30.5,20.5,0.005793815
-30.5,21.5,0.010796301
-30.5,22.5,0.018152766
-30.5,23.5,0.022834364
-30.5,24.5,0.02990471
-30.5,25.5,0.040363938
-30.5,26.5,0.054182623
-30.5,27.5,0.07859978
-30.5,28.5,0.09683447
-30.5,29.5,0.12389687
-30.5,30.5,0.12139226
-30.5,115.5,0.037000258
-30.5,116.5,0.037976418
-30.5,117.5,0.030060852
-30.5,118.5,0.025702823
-30.5,119.5,0.022925267
-30.5,120.5,0.022391874
-30.5,121.5,0.021495303
-30.5,122.5,0.023152716
-30.5,123.5,0.023836441
-30.5,124.5,0.023416715
-30.5,125.5,0.023408225
-30.5,126.5,0.022906639
-30.5,127.5,0.023467263
-30.5,128.5,0.02264512
-30.5,129.5,0.022257349
-30.5,130.5,0.021663062
-30.5,131.5,0.020272665
-30.5,132.5,0.018846009
-30.5,133.5,0.018616196
-30.5,134.5,0.016344836
-30.5,135.5,0.015157997
-30.5,136.5,0.012894165
-30.5,137.5,0.011427109
-30.5,138.5,0.0117583275
-30.5,139.5,0.011462817
-30.5,140.5,0.013784136
-30.5,141.5,0.014712421
-30.5,142.5,0.015075017
-30.5,143.5,0.018445
-30.5,144.5,0.020565618
-30.5,145.5,0.025203176
-30.5,146.5,0.027693143
-30.5,147.5,0.03416041
-30.5,148.5,0.041142616
-30.5,149.5,0.050490275
-30.5,150.5,0.067899644
-30.5,151.5,0.08346333
-30.5,152.5,0.103874534
-29.5,-70.5,0.009922352
-29.5,-69.5,0.0017614819
-29.5,-68.5,0.01438092
-29.5,-67.5,0.030323556
-29.5,-66.5,0.031590465
-29.5,-65.5,0.029703801
-29.5,-64.5,0.03360027
-29.5,-63.5,0.0425937
-29.5,-62.5,0.04760162
-29.5,-61.5,0.05716054
-29.5,-60.5,0.068317525
-29.5,-59.5,0.0875755
-29.5,-58.5,0.0982404
-29.5,-57.5,0.09977622
-29.5,-56.5,0.09929744
-29.5,-55.5,0.10544221
-29.5,-54.5,0.11363347
-29.5,-53.5,0.12142912
-29.5,-52.5,0.13743019
-29.5,-51.5,0.14280312
-29.5,-50.5,0.15001698
-29.5,17.5,0.008897699
-29.5,18.5,0.008477967
-29.5,19.5,0.009313545
-29.5,20.5,0.008324976
-29.5,21.5,0.014541891
-29.5,22.5,0.020080935
-29.5,23.5,0.026921017
-29.5,24.5,0.031938646
-29.5,25.5,0.04121208
-29.5,26.5,0.05582411
-29.5,27.5,0.076700225
-29.5,28.5,0.082047656
-29.5,29.5,0.10793339
-29.5,30.5,0.12670845
-29.5,115.5,0.029375378
-29.5,116.5,0.025861302
-29.5,117.5,0.024071926
-29.5,118.5,0.019310772
-29.5,119.5,0.017491855
-29.5,120.5,0.01685082
-29.5,121.5,0.018639816
-29.5,122.5,0.02027215
-29.5,123.5,0.019792974
-29.5,124.5,0.02051691
-29.5,125.5,0.02159868
-29.5,126.5,0.021059752
-29.5,127.5,0.0203431
-29.5,128.5,0.02067109
-29.5,129.5,0.021152839
-29.5,130.5,0.01951456
-29.5,131.5,0.019221358
-29.5,132.5,0.017536063
-29.5,133.5,0.0147482725
-29.5,134.5,0.013889833
-29.5,135.5,0.0132412715
-29.5,136.5,0.011002247
-29.5,137.5,0.008059585
-29.5,138.5,0.010495434
-29.5,139.5,0.012573428
-29.5,140.5,0.013425717
-29.5,141.5,0.014089892
-29.5,142.5,0.014493356
-29.5,143.5,0.017492086
-29.5,144.5,0.021296559
-29.5,145.5,0.023896351
-29.5,146.5,0.025465356
-29.5,147.5,0.02837346
-29.5,148.5,0.03389894
-29.5,149.5,0.0436944
-29.5,150.5,0.054784164
-29.5,151.5,0.07350593
-29.5,152.5,0.094841614
-28.5,-70.5,0.00408687
-28.5,-69.5,0.0030019926
-28.5,-68.5,0.006577148
-28.5,-67.5,0.026082374
-28.5,-66.5,0.021698471
-28.5,-65.5,0.038176626
-28.5,-64.5,0.04262962
-28.5,-63.5,0.045654755
-28.5,-62.5,0.05402154
-28.5,-61.5,0.061807882
-28.5,-60.5,0.07377061
-28.5,-59.5,0.08759413
-28.5,-58.5,0.09787741
-28.5,-57.5,0.104242995
-28.5,-56.5,0.11426904
-28.5,-55.5,0.1264223
-28.5,-54.5,0.13298278
-28.5,-53.5,0.1435099
-28.5,-52.5,0.15357111
-28.5,-51.5,0.15730913
-28.5,-50.5,0.15632206
-28.5,-49.5,0.16434316
-28.5,16.5,0.0020141304
-28.5,17.5,0.0021255217
-28.5,18.5,0.0041326783
-28.5,19.5,0.0076601007
-28.5,20.5,0.012410795
-28.5,21.5,0.017061558
-28.5,22.5,0.023581784
-28.5,23.5,0.026319845
-28.5,24.5,0.033559047
-28.5,25.5,0.041798495
-28.5,26.5,0.053343434
-28.5,27.5,0.06861715
-28.5,28.5,0.081632406
-28.5,29.5,0.09899967
-28.5,30.5,0.09943787
-28.5,31.5,0.111346975
-28.5,114.5,0.023522312
-28.5,115.5,0.024395559
-28.5,116.5,0.020569498
-28.5,117.5,0.019854758
-28.5,118.5,0.01780109
-28.5,119.5,0.017034072
-28.5,120.5,0.016542764
-28.5,121.5,0.017935794
-28.5,122.5,0.017560765
-28.5,123.5,0.018298106
-28.5,124.5,0.018745104
-28.5,125.5,0.019789716
-28.5,126.5,0.019959914
-28.5,127.5,0.019280575
-28.5,128.5,0.019687966
-28.5,129.5,0.02027073
-28.5,130.5,0.019380534
-28.5,131.5,0.01819431
-28.5,132.5,0.0155611625
-28.5,133.5,0.013825578
-28.5,134.5,0.012402808
-28.5,135.5,0.011480704
-28.5,136.5,0.007337106
-28.5,137.5,0.0035016872
-28.5,138.5,0.010343144
-28.5,139.5,0.010851334
-28.5,140.5,0.012174157
-28.5,141.5,0.013251296
-28.5,142.5,0.014387585
-28.5,143.5,0.017509216
-28.5,144.5,0.019959725
-28.5,145.5,0.02121119
-28.5,146.5,0.025467299
-28.5,147.5,0.03028293
-28.5,148.5,0.031320173
-28.5,149.5,0.03888851
-28.5,150.5,0.050280396
-28.5,151.5,0.062703975
-28.5,152.5,0.088708214
-28.5,153.5,0.08725762
-27.5,-70.5,4.531524E-4
-27.5,-69.5,0.0014539459
-27.5,-68.5,0.0
-27.5,-67.5,0.013155416
-27.5,-66.5,0.02938789
-27.5,-65.5,0.068216756
-27.5,-64.5,0.052388143
-27.5,-63.5,0.04982984
-27.5,-62.5,0.05465824
-27.5,-61.5,0.059276965
-27.5,-60.5,0.074916594
-27.5,-59.5,0.088350244
-27.5,-58.5,0.099132836
-27.5,-57.5,0.10622002
-27.5,-56.5,0.1176585
-27.5,-55.5,0.14045185
-27.5,-54.5,0.15011652
-27.5,-53.5,0.1551013
-27.5,-52.5,0.16071318
-27.5,-51.5,0.16905262
-27.5,-50.5,0.16513182
-27.5,-49.5,0.16960149
-27.5,15.5,4.026351E-4
-27.5,16.5,0.00151687
-27.5,17.5,0.0037237275
-27.5,18.5,0.008542998
-27.5,19.5,0.012394935
-27.5,20.5,0.015035836
-27.5,21.5,0.018410573
-27.5,22.5,0.023850441
-27.5,23.5,0.03004581
-27.5,24.5,0.036713984
-27.5,25.5,0.047174346
-27.5,26.5,0.054747418
-27.5,27.5,0.06553218
-27.5,28.5,0.073909625
-27.5,29.5,0.08742535
-27.5,30.5,0.099391684
-27.5,31.5,0.101014614
-27.5,32.5,0.099600494
-27.5,114.5,0.022663865
-27.5,115.5,0.017972464
-27.5,116.5,0.01691728
-27.5,117.5,0.017122502
-27.5,118.5,0.015058272
-27.5,119.5,0.01669593
-27.5,120.5,0.016954709
-27.5,121.5,0.01677267
-27.5,122.5,0.016989006
-27.5,123.5,0.016721781
-27.5,124.5,0.017603386
-27.5,125.5,0.017012676
-27.5,126.5,0.016509313
-27.5,127.5,0.017371934
-27.5,128.5,0.01691006
-27.5,129.5,0.014062491
-27.5,130.5,0.014276332
-27.5,131.5,0.017162632
-27.5,132.5,0.015173895
-27.5,133.5,0.013065625
-27.5,134.5,0.010799885
-27.5,135.5,0.010480763
-27.5,136.5,0.009846631
-27.5,137.5,0.0046940357
-27.5,138.5,0.009155158
-27.5,139.5,0.011700097
-27.5,140.5,0.0120509975
-27.5,141.5,0.012629891
-27.5,142.5,0.015172103
-27.5,143.5,0.017709343
-27.5,144.5,0.020875325
-27.5,145.5,0.023512287
-27.5,146.5,0.027144318
-27.5,147.5,0.03171169
-27.5,148.5,0.03666135
-27.5,149.5,0.041022297
-27.5,150.5,0.04873914
-27.5,151.5,0.058321908
-27.5,152.5,0.081117645
-26.5,-70.5,0.0
-26.5,-69.5,0.0
-26.5,-68.5,0.0
-26.5,-67.5,0.0
-26.5,-66.5,0.022908531
-26.5,-65.5,0.061814267
-26.5,-64.5,0.060522135
-26.5,-63.5,0.052003298
-26.5,-62.5,0.05500592
-26.5,-61.5,0.06130538
-26.5,-60.5,0.07159005
-26.5,-59.5,0.08773761
-26.5,-58.5,0.09556724
-26.5,-57.5,0.10654577
-26.5,-56.5,0.11821456
-26.5,-55.5,0.13989623
-26.5,-54.5,0.1575442
-26.5,-53.5,0.15496004
-26.5,-52.5,0.1566155
-26.5,-51.5,0.16020158
-26.5,-50.5,0.16799308
-26.5,-49.5,0.1655932
-26.5,15.5,3.9968063E-4
-26.5,16.5,0.004109655
-26.5,17.5,0.005469321
-26.5,18.5,0.0073409835
-26.5,19.5,0.014603008
-26.5,20.5,0.01828894
-26.5,21.5,0.020382756
-26.5,22.5,0.023663372
-26.5,23.5,0.029923566
-26.5,24.5,0.037731726
-26.5,25.5,0.049145423
-26.5,26.5,0.059641473
-26.5,27.5,0.06883349
-26.5,28.5,0.07296553
-26.5,29.5,0.08510811
-26.5,30.5,0.093598686
-26.5,31.5,0.09863849
-26.5,32.5,0.09872502
-26.5,114.5,0.015027469
-26.5,115.5,0.014467832
-26.5,116.5,0.014398095
-26.5,117.5,0.014100816
-26.5,118.5,0.014940056
-26.5,119.5,0.017003743
-26.5,120.5,0.0152847245
-26.5,121.5,0.016313177
-26.5,122.5,0.015791956
-26.5,123.5,0.0151563585
-26.5,124.5,0.016622508
-26.5,125.5,0.016341321
-26.5,126.5,0.016542332
-26.5,127.5,0.01370542
-26.5,128.5,0.015892198
-26.5,129.5,0.016288903
-26.5,130.5,0.0136220455
-26.5,131.5,0.013519822
-26.5,132.5,0.012862782
-26.5,133.5,0.01199807
-26.5,134.5,0.009985126
-26.5,135.5,0.010355239
-26.5,136.5,0.010267419
-26.5,137.5,0.010384526
-26.5,138.5,0.011140637
-26.5,139.5,0.011850506
-26.5,140.5,0.012263543
-26.5,141.5,0.013345537
-26.5,142.5,0.016235836
-26.5,143.5,0.019633612
-26.5,144.5,0.022739833
-26.5,145.5,0.023869436
-26.5,146.5,0.030011423
-26.5,147.5,0.035943788
-26.5,148.5,0.03998952
-26.5,149.5,0.045312293
-26.5,150.5,0.05299765
-26.5,151.5,0.060447432
-26.5,152.5,0.08754592
-25.5,-70.5,2.7654518E-4
-25.5,-69.5,4.980853E-4
-25.5,-68.5,5.0776504E-4
-25.5,-67.5,0.0037073684
-25.5,-66.5,0.013927381
-25.5,-65.5,0.05669729
-25.5,-64.5,0.06483861
-25.5,-63.5,0.053617623
-25.5,-62.5,0.053106192
-25.5,-61.5,0.060770612
-25.5,-60.5,0.072041824
-25.5,-59.5,0.08953274
-25.5,-58.5,0.097099684
-25.5,-57.5,0.10478178
-25.5,-56.5,0.12196291
-25.5,-55.5,0.13124794
-25.5,-54.5,0.14774229
-25.5,-53.5,0.1542089
-25.5,-52.5,0.15885884
-25.5,-51.5,0.15669501
-25.5,-50.5,0.16243844
-25.5,-49.5,0.15266958
-25.5,-48.5,0.16989385
-25.5,15.5,0.0020961436
-25.5,16.5,0.009688084
-25.5,17.5,0.012692283
-25.5,18.5,0.011798466
-25.5,19.5,0.018374206
-25.5,20.5,0.021341873
-25.5,21.5,0.023043742
-25.5,22.5,0.025879068
-25.5,23.5,0.029735014
-25.5,24.5,0.037187524
-25.5,25.5,0.047798965
-25.5,26.5,0.055424575
-25.5,27.5,0.06291616
-25.5,28.5,0.06639537
-25.5,29.5,0.07778284
-25.5,30.5,0.08992655
-25.5,31.5,0.08026407
-25.5,32.5,0.07240782
-25.5,45.5,0.062846415
-25.5,114.5,0.014688353
-25.5,115.5,0.01527637
-25.5,116.5,0.013896067
-25.5,117.5,0.014994284
-25.5,118.5,0.015453386
-25.5,119.5,0.01631098
-25.5,120.5,0.01745767
-25.5,121.5,0.01759014
