lat,lon,AIRS3STM_006_RelHumSurf_D
-88.5,39.5,85.61771
-88.5,40.5,87.58669
-88.5,41.5,88.84277
-88.5,42.5,87.735886
-88.5,43.5,87.31563
-88.5,44.5,86.869705
-88.5,45.5,87.43649
-88.5,46.5,88.324356
-88.5,47.5,87.53683
-88.5,48.5,86.22952
-88.5,49.5,87.08482
-88.5,50.5,87.46094
-88.5,51.5,87.15932
-88.5,52.5,86.43409
-88.5,53.5,86.757675
-88.5,54.5,87.16631
-88.5,55.5,86.40986
-88.5,56.5,87.41435
-88.5,57.5,86.862724
-88.5,58.5,87.27818
-88.5,59.5,86.40944
-88.5,60.5,86.772835
-88.5,61.5,86.28646
-88.5,62.5,86.82475
-88.5,63.5,86.84115
-88.5,64.5,86.32
-88.5,65.5,86.720665
-88.5,66.5,86.70918
-88.5,67.5,86.25893
-88.5,68.5,86.68207
-88.5,69.5,87.495
-88.5,70.5,87.38179
-88.5,71.5,88.0375
-88.5,72.5,88.010414
-88.5,73.5,87.36914
-88.5,74.5,88.08463
-88.5,75.5,87.693184
-88.5,76.5,88.39099
-88.5,77.5,87.51223
-88.5,78.5,87.32846
-88.5,79.5,87.726906
-88.5,80.5,87.71094
-88.5,81.5,87.04818
-88.5,82.5,87.1622
-88.5,83.5,87.42838
-88.5,84.5,87.78516
-88.5,85.5,86.345665
-88.5,86.5,85.73641
-88.5,87.5,87.901596
-88.5,88.5,87.229164
-88.5,89.5,87.10677
-88.5,90.5,87.44429
-88.5,91.5,85.56
-88.5,92.5,87.66875
-88.5,93.5,87.974434
-88.5,94.5,87.16875
-88.5,95.5,86.92985
-88.5,96.5,86.164894
-88.5,97.5,86.974266
-88.5,98.5,87.140625
-88.5,99.5,86.83875
-88.5,100.5,87.55147
-88.5,101.5,87.74745
-88.5,102.5,86.760414
-88.5,103.5,87.479164
-88.5,104.5,87.572914
-88.5,105.5,88.135635
-88.5,106.5,87.08894
-88.5,107.5,86.77474
-88.5,108.5,86.13179
-88.5,109.5,85.752716
-88.5,110.5,86.36275
-88.5,111.5,88.46462
-88.5,112.5,87.46814
-88.5,113.5,86.02926
-88.5,114.5,87.17602
-88.5,115.5,87.66454
-88.5,116.5,88.3223
-88.5,117.5,87.28954
-88.5,118.5,86.46625
-88.5,119.5,87.4325
-88.5,120.5,86.34191
-88.5,121.5,87.18099
-88.5,122.5,87.53906
-88.5,123.5,85.61275
-88.5,124.5,87.23724
-88.5,125.5,86.775734
-88.5,126.5,87.75961
