lat,lon,GLDAS_NOAH10_M_2_1_Rainf_f_tavg
-31.5,132.5,9.296587E-6
-31.5,133.5,8.496041E-6
-31.5,134.5,7.779579E-6
-31.5,135.5,7.3139845E-6
-31.5,136.5,7.075014E-6
-31.5,137.5,7.009851E-6
-31.5,138.5,6.9503244E-6
-31.5,139.5,7.1436125E-6
-31.5,140.5,6.9289736E-6
-31.5,141.5,7.4279783E-6
-31.5,142.5,8.225564E-6
-31.5,143.5,8.677946E-6
-31.5,144.5,9.322016E-6
-31.5,145.5,1.0744197E-5
-31.5,146.5,1.2357899E-5
-31.5,147.5,1.4012795E-5
-31.5,148.5,1.6515549E-5
-31.5,149.5,2.1024522E-5
-31.5,150.5,2.5236439E-5
-31.5,151.5,2.9360335E-5
-31.5,152.5,3.5899633E-5
-30.5,-71.5,3.919207E-6
-30.5,-70.5,7.00012E-6
-30.5,-69.5,5.9969725E-6
-30.5,-68.5,6.629712E-6
-30.5,-67.5,8.848858E-6
-30.5,-66.5,1.277288E-5
-30.5,-65.5,1.5533E-5
-30.5,-64.5,2.0213562E-5
-30.5,-63.5,2.3718047E-5
-30.5,-62.5,2.7989287E-5
-30.5,-61.5,3.2715452E-5
-30.5,-60.5,3.834698E-5
-30.5,-59.5,4.4123834E-5
-30.5,-58.5,4.7289974E-5
-30.5,-57.5,5.088794E-5
-30.5,-56.5,5.2730044E-5
-30.5,-55.5,5.504232E-5
-30.5,-54.5,5.604294E-5
-30.5,-53.5,5.7341265E-5
-30.5,-52.5,5.7349473E-5
-30.5,-51.5,5.6407272E-5
-30.5,17.5,3.2995702E-6
-30.5,18.5,4.1435223E-6
-30.5,19.5,5.063964E-6
-30.5,20.5,5.3961467E-6
-30.5,21.5,6.4313845E-6
-30.5,22.5,7.8178955E-6
-30.5,23.5,9.664187E-6
-30.5,24.5,1.2065854E-5
-30.5,25.5,1.4768269E-5
-30.5,26.5,1.7895802E-5
-30.5,27.5,2.2139615E-5
-30.5,28.5,2.6320115E-5
-30.5,29.5,3.0931697E-5
-30.5,30.5,2.8478687E-5
-30.5,115.5,1.2476494E-5
-30.5,116.5,1.2356324E-5
-30.5,117.5,1.107812E-5
-30.5,118.5,9.121794E-6
-30.5,119.5,8.905669E-6
-30.5,120.5,9.5926425E-6
-30.5,121.5,9.173348E-6
-30.5,122.5,1.0206095E-5
-30.5,123.5,1.06574735E-5
-30.5,124.5,1.0638324E-5
-30.5,125.5,1.0723007E-5
-30.5,126.5,1.073697E-5
-30.5,127.5,1.0797636E-5
-30.5,128.5,1.0430231E-5
-30.5,129.5,1.0199889E-5
-30.5,130.5,9.900173E-6
-30.5,131.5,8.919386E-6
-30.5,132.5,8.60201E-6
-30.5,133.5,7.685484E-6
-30.5,134.5,7.089054E-6
-30.5,135.5,6.7207566E-6
-30.5,136.5,6.0089533E-6
-30.5,137.5,6.1145874E-6
-30.5,138.5,5.5411947E-6
-30.5,139.5,6.201451E-6
-30.5,140.5,6.8701543E-6
-30.5,141.5,7.3580695E-6
-30.5,142.5,7.845909E-6
-30.5,143.5,8.86208E-6
-30.5,144.5,9.635095E-6
-30.5,145.5,1.1001924E-5
-30.5,146.5,1.2163698E-5
-30.5,147.5,1.38490805E-5
-30.5,148.5,1.564843E-5
-30.5,149.5,1.9314835E-5
-30.5,150.5,2.396278E-5
-30.5,151.5,2.7739567E-5
-30.5,152.5,3.4115375E-5
-29.5,-70.5,4.299917E-6
-29.5,-69.5,5.700754E-6
-29.5,-68.5,7.4029103E-6
-29.5,-67.5,9.839534E-6
-29.5,-66.5,1.1992086E-5
-29.5,-65.5,1.4627582E-5
-29.5,-64.5,1.8549848E-5
-29.5,-63.5,2.2461878E-5
-29.5,-62.5,2.7908383E-5
-29.5,-61.5,3.355044E-5
-29.5,-60.5,3.8329683E-5
-29.5,-59.5,4.408163E-5
-29.5,-58.5,4.8344133E-5
-29.5,-57.5,5.3672968E-5
-29.5,-56.5,5.7320554E-5
-29.5,-55.5,5.921944E-5
-29.5,-54.5,6.186178E-5
-29.5,-53.5,6.429171E-5
-29.5,-52.5,6.4279586E-5
-29.5,-51.5,6.274485E-5
-29.5,-50.5,6.1766754E-5
-29.5,17.5,2.6534437E-6
-29.5,18.5,3.1194481E-6
-29.5,19.5,4.349488E-6
-29.5,20.5,5.0701256E-6
-29.5,21.5,6.646616E-6
-29.5,22.5,8.623232E-6
-29.5,23.5,1.1017462E-5
-29.5,24.5,1.2282641E-5
-29.5,25.5,1.55189E-5
-29.5,26.5,1.794675E-5
-29.5,27.5,2.0538017E-5
-29.5,28.5,2.2064716E-5
-29.5,29.5,2.756131E-5
-29.5,30.5,2.6633728E-5
-29.5,115.5,1.0348068E-5
-29.5,116.5,9.861886E-6
-29.5,117.5,9.757415E-6
-29.5,118.5,8.201927E-6
-29.5,119.5,8.00102E-6
-29.5,120.5,8.253091E-6
-29.5,121.5,8.627912E-6
-29.5,122.5,9.887672E-6
-29.5,123.5,9.696798E-6
-29.5,124.5,1.00318675E-5
-29.5,125.5,1.0027765E-5
-29.5,126.5,1.02204E-5
-29.5,127.5,1.0134146E-5
-29.5,128.5,1.0258495E-5
-29.5,129.5,1.02547965E-5
-29.5,130.5,9.351181E-6
-29.5,131.5,8.798946E-6
-29.5,132.5,8.305425E-6
-29.5,133.5,6.978753E-6
-29.5,134.5,6.847344E-6
-29.5,135.5,6.6046546E-6
-29.5,136.5,5.6559943E-6
-29.5,137.5,5.57966E-6
-29.5,138.5,5.8826276E-6
-29.5,139.5,6.4516066E-6
-29.5,140.5,6.40608E-6
-29.5,141.5,7.043752E-6
-29.5,142.5,7.92956E-6
-29.5,143.5,9.030259E-6
-29.5,144.5,9.645053E-6
-29.5,145.5,1.0651357E-5
-29.5,146.5,1.1852992E-5
-29.5,147.5,1.2934633E-5
-29.5,148.5,1.436206E-5
-29.5,149.5,1.8183495E-5
-29.5,150.5,2.1812923E-5
-29.5,151.5,2.5581057E-5
-29.5,152.5,3.1546017E-5
-28.5,-70.5,2.1578721E-6
-28.5,-69.5,3.931509E-6
-28.5,-68.5,6.7617984E-6
-28.5,-67.5,1.124691E-5
-28.5,-66.5,1.0017343E-5
-28.5,-65.5,1.3761547E-5
-28.5,-64.5,2.0171667E-5
-28.5,-63.5,2.3347504E-5
-28.5,-62.5,2.7982556E-5
-28.5,-61.5,3.282917E-5
-28.5,-60.5,3.8487993E-5
-28.5,-59.5,4.4302295E-5
-28.5,-58.5,5.0459177E-5
-28.5,-57.5,5.6346267E-5
-28.5,-56.5,5.9981983E-5
-28.5,-55.5,6.277385E-5
-28.5,-54.5,6.652201E-5
-28.5,-53.5,6.708903E-5
-28.5,-52.5,6.631014E-5
-28.5,-51.5,6.3327636E-5
-28.5,-50.5,6.2261985E-5
-28.5,-49.5,6.3134976E-5
-28.5,16.5,2.0677553E-6
-28.5,17.5,2.4772137E-6
-28.5,18.5,3.3448719E-6
-28.5,19.5,4.3784094E-6
-28.5,20.5,5.983191E-6
-28.5,21.5,7.382826E-6
-28.5,22.5,9.348914E-6
-28.5,23.5,1.1126026E-5
-28.5,24.5,1.2847932E-5
-28.5,25.5,1.5387173E-5
-28.5,26.5,1.6934917E-5
-28.5,27.5,1.9008408E-5
-28.5,28.5,2.0676514E-5
-28.5,29.5,2.4711971E-5
-28.5,30.5,2.5890382E-5
-28.5,31.5,2.593002E-5
-28.5,114.5,9.424775E-6
-28.5,115.5,9.324635E-6
-28.5,116.5,8.686996E-6
-28.5,117.5,8.610653E-6
-28.5,118.5,7.922276E-6
-28.5,119.5,8.0157715E-6
-28.5,120.5,8.105763E-6
-28.5,121.5,8.899681E-6
-28.5,122.5,9.01876E-6
-28.5,123.5,9.640917E-6
-28.5,124.5,9.906077E-6
-28.5,125.5,9.944868E-6
-28.5,126.5,1.0374319E-5
-28.5,127.5,1.0140869E-5
-28.5,128.5,1.0384815E-5
-28.5,129.5,1.0368327E-5
-28.5,130.5,9.473534E-6
-28.5,131.5,8.503741E-6
-28.5,132.5,7.831897E-6
-28.5,133.5,6.9541234E-6
-28.5,134.5,6.6717885E-6
-28.5,135.5,6.179683E-6
-28.5,136.5,5.8739456E-6
-28.5,137.5,5.540309E-6
-28.5,138.5,5.8534697E-6
-28.5,139.5,5.5036444E-6
-28.5,140.5,5.836341E-6
-28.5,141.5,7.1796567E-6
-28.5,142.5,8.411021E-6
-28.5,143.5,9.451743E-6
-28.5,144.5,1.0123315E-5
-28.5,145.5,1.1095174E-5
-28.5,146.5,1.2401716E-5
-28.5,147.5,1.3694175E-5
-28.5,148.5,1.4084636E-5
-28.5,149.5,1.727676E-5
-28.5,150.5,1.9846582E-5
-28.5,151.5,2.3828848E-5
-28.5,152.5,2.9643084E-5
-28.5,153.5,3.6303572E-5
-27.5,-70.5,1.4335127E-6
-27.5,-69.5,2.3862863E-6
-27.5,-68.5,5.437081E-6
-27.5,-67.5,1.0759322E-5
-27.5,-66.5,1.3165009E-5
-27.5,-65.5,1.7740835E-5
-27.5,-64.5,2.2020266E-5
-27.5,-63.5,2.4537625E-5
-27.5,-62.5,2.8574816E-5
-27.5,-61.5,3.182431E-5
-27.5,-60.5,3.7881902E-5
-27.5,-59.5,4.3438107E-5
-27.5,-58.5,5.030587E-5
-27.5,-57.5,5.303212E-5
-27.5,-56.5,5.850922E-5
-27.5,-55.5,6.237964E-5
-27.5,-54.5,6.708591E-5
-27.5,-53.5,6.849501E-5
-27.5,-52.5,6.642996E-5
-27.5,-51.5,6.443879E-5
-27.5,-50.5,6.084552E-5
-27.5,-49.5,6.0052538E-5
-27.5,15.5,1.9277754E-6
-27.5,16.5,2.3101845E-6
-27.5,17.5,3.5965857E-6
-27.5,18.5,4.6946857E-6
-27.5,19.5,5.5707665E-6
-27.5,20.5,6.894551E-6
-27.5,21.5,7.853627E-6
-27.5,22.5,8.897172E-6
-27.5,23.5,1.1099216E-5
-27.5,24.5,1.3293898E-5
-27.5,25.5,1.534991E-5
-27.5,26.5,1.7017264E-5
-27.5,27.5,1.9122883E-5
-27.5,28.5,1.9794219E-5
-27.5,29.5,2.2909802E-5
-27.5,30.5,2.5065354E-5
-27.5,31.5,2.5931542E-5
-27.5,32.5,2.4624756E-5
-27.5,114.5,8.600061E-6
-27.5,115.5,8.122614E-6
-27.5,116.5,7.712008E-6
-27.5,117.5,7.918913E-6
-27.5,118.5,7.670582E-6
-27.5,119.5,8.1099515E-6
-27.5,120.5,8.533498E-6
-27.5,121.5,9.002408E-6
-27.5,122.5,8.9652785E-6
-27.5,123.5,9.29326E-6
-27.5,124.5,9.257309E-6
-27.5,125.5,8.900941E-6
-27.5,126.5,9.034524E-6
-27.5,127.5,9.376296E-6
-27.5,128.5,9.303891E-6
-27.5,129.5,9.54491E-6
-27.5,130.5,8.726578E-6
-27.5,131.5,8.400655E-6
-27.5,132.5,7.669626E-6
-27.5,133.5,7.1027657E-6
-27.5,134.5,6.3611187E-6
-27.5,135.5,5.920182E-6
-27.5,136.5,5.9067693E-6
-27.5,137.5,5.647344E-6
-27.5,138.5,5.680055E-6
-27.5,139.5,6.2930762E-6
-27.5,140.5,6.892777E-6
