lat,lon,GLDAS_NOAH10_M_2_1_Evap_tavg
-32.5,-58.5,3.7448863E-5
-32.5,-57.5,3.7827405E-5
-32.5,-56.5,3.834888E-5
-32.5,-55.5,3.8266317E-5
-32.5,-54.5,3.888982E-5
-32.5,-53.5,3.6453446E-5
-32.5,18.5,8.847817E-6
-32.5,19.5,8.8504585E-6
-32.5,20.5,8.405891E-6
-32.5,21.5,9.835978E-6
-32.5,22.5,1.0956903E-5
-32.5,23.5,1.2322985E-5
-32.5,24.5,1.452077E-5
-32.5,25.5,1.7280227E-5
-32.5,26.5,2.0012381E-5
-32.5,27.5,2.330742E-5
-32.5,28.5,2.4891377E-5
-32.5,116.5,1.6970587E-5
-32.5,117.5,1.4968835E-5
-32.5,118.5,1.2626108E-5
-32.5,119.5,1.1125055E-5
-32.5,120.5,1.20629875E-5
-32.5,121.5,1.1910842E-5
-32.5,122.5,1.28292495E-5
-32.5,123.5,1.2736507E-5
-32.5,124.5,1.3415554E-5
-32.5,125.5,1.3185505E-5
-32.5,134.5,9.243667E-6
-32.5,135.5,8.831574E-6
-32.5,136.5,8.384506E-6
-32.5,137.5,8.496618E-6
-32.5,138.5,8.180666E-6
-32.5,139.5,8.15915E-6
-32.5,140.5,7.771478E-6
-32.5,141.5,7.508241E-6
-32.5,142.5,8.941368E-6
-32.5,143.5,9.4321795E-6
-32.5,144.5,9.6636895E-6
-32.5,145.5,1.08644E-5
-32.5,146.5,1.2238882E-5
-32.5,147.5,1.40909715E-5
-32.5,148.5,1.6528149E-5
-32.5,149.5,1.8729435E-5
-32.5,150.5,2.2616829E-5
-32.5,151.5,2.5711026E-5
-31.5,-71.5,5.788534E-6
-31.5,-70.5,7.007379E-6
-31.5,-69.5,6.5548143E-6
-31.5,-68.5,8.115762E-6
-31.5,-67.5,9.861239E-6
-31.5,-66.5,1.5755266E-5
-31.5,-65.5,1.8535966E-5
-31.5,-64.5,2.2880771E-5
-31.5,-63.5,2.6897764E-5
-31.5,-62.5,2.7481241E-5
-31.5,-61.5,3.059314E-5
-31.5,-60.5,3.4496275E-5
-31.5,-59.5,3.788198E-5
-31.5,-58.5,3.7831996E-5
-31.5,-57.5,3.834023E-5
-31.5,-56.5,4.0697083E-5
-31.5,-55.5,4.0666102E-5
-31.5,-54.5,4.0145835E-5
-31.5,-53.5,3.3986988E-5
-31.5,-52.5,3.2132088E-5
-31.5,18.5,5.5549913E-6
-31.5,19.5,6.131742E-6
-31.5,20.5,5.896515E-6
-31.5,21.5,6.6923008E-6
-31.5,22.5,8.352329E-6
-31.5,23.5,1.0329881E-5
-31.5,24.5,1.2674415E-5
-31.5,25.5,1.5856323E-5
-31.5,26.5,1.8558527E-5
-31.5,27.5,2.3295248E-5
-31.5,28.5,2.727942E-5
-31.5,29.5,3.0297742E-5
-31.5,116.5,1.4887598E-5
-31.5,117.5,1.3144435E-5
-31.5,118.5,1.0328144E-5
-31.5,119.5,9.628741E-6
-31.5,120.5,1.0252619E-5
-31.5,121.5,1.01290025E-5
-31.5,122.5,1.1081285E-5
-31.5,123.5,1.08656E-5
-31.5,124.5,1.1543431E-5
-31.5,125.5,1.1564366E-5
-31.5,126.5,1.0967479E-5
-31.5,127.5,1.1253782E-5
-31.5,128.5,1.086946E-5
-31.5,129.5,1.0743031E-5
-31.5,130.5,1.11410445E-5
-31.5,131.5,1.0124806E-5
-31.5,132.5,9.257533E-6
-31.5,133.5,8.354136E-6
-31.5,134.5,7.659593E-6
-31.5,135.5,7.150475E-6
-31.5,136.5,6.8663185E-6
-31.5,137.5,6.86089E-6
-31.5,138.5,6.902495E-6
-31.5,139.5,7.076651E-6
-31.5,140.5,6.9246826E-6
-31.5,141.5,7.287694E-6
-31.5,142.5,7.965259E-6
-31.5,143.5,8.410981E-6
-31.5,144.5,9.01386E-6
-31.5,145.5,1.0367694E-5
-31.5,146.5,1.1760464E-5
-31.5,147.5,1.3893901E-5
-31.5,148.5,1.5682832E-5
-31.5,149.5,1.8387163E-5
-31.5,150.5,2.3153245E-5
-31.5,151.5,2.6721002E-5
-31.5,152.5,3.31622E-5
-30.5,-71.5,3.7933676E-6
-30.5,-70.5,6.027997E-6
-30.5,-69.5,5.32578E-6
-30.5,-68.5,6.2060863E-6
-30.5,-67.5,8.5517E-6
-30.5,-66.5,1.2524869E-5
-30.5,-65.5,1.5198691E-5
-30.5,-64.5,1.9688909E-5
-30.5,-63.5,2.362307E-5
-30.5,-61.5,3.0006797E-5
-30.5,-60.5,3.4454406E-5
-30.5,-59.5,3.653178E-5
-30.5,-58.5,3.8110127E-5
-30.5,-57.5,3.9357506E-5
-30.5,-56.5,4.1855725E-5
-30.5,-55.5,4.2956704E-5
-30.5,-54.5,3.8930113E-5
-30.5,-53.5,3.5081237E-5
-30.5,-52.5,3.6263602E-5
-30.5,-51.5,3.4867484E-5
-30.5,17.5,3.4266648E-6
-30.5,18.5,4.3623777E-6
-30.5,19.5,5.1974703E-6
-30.5,20.5,5.4111406E-6
-30.5,21.5,6.4669516E-6
-30.5,22.5,8.000227E-6
-30.5,23.5,9.765545E-6
-30.5,24.5,1.20219665E-5
-30.5,25.5,1.46058155E-5
-30.5,26.5,1.7444381E-5
-30.5,27.5,2.1499955E-5
-30.5,28.5,2.5352654E-5
-30.5,29.5,2.9936671E-5
-30.5,30.5,2.8773151E-5
