lat,lon,GLDAS_NOAH10_M_2_1_SoilMoi10_40cm_inst
-30.5,147.5,74.011894
-30.5,148.5,71.603584
-30.5,149.5,60.061085
-30.5,150.5,65.63037
-30.5,151.5,66.5059
-30.5,152.5,70.993256
-29.5,-70.5,60.74087
-29.5,-69.5,55.070023
-29.5,-68.5,57.085262
-29.5,-67.5,55.076035
-29.5,-66.5,50.07879
-29.5,-65.5,48.78173
-29.5,-64.5,69.26972
-29.5,-63.5,50.252808
-29.5,-62.5,51.287148
-29.5,-61.5,72.451096
-29.5,-60.5,79.96522
-29.5,-59.5,92.17594
-29.5,-58.5,99.75115
-29.5,-57.5,105.050125
-29.5,-56.5,104.45215
-29.5,-55.5,105.29632
-29.5,-54.5,79.775856
-29.5,-53.5,82.13469
-29.5,-52.5,119.067314
-29.5,-51.5,115.82577
-29.5,-50.5,109.657295
-29.5,17.5,35.565235
-29.5,18.5,39.281666
-29.5,19.5,48.371822
-29.5,20.5,56.19949
-29.5,21.5,50.570343
-29.5,22.5,50.34467
-29.5,23.5,54.18692
-29.5,24.5,52.96438
-29.5,25.5,56.15313
-29.5,26.5,56.01153
-29.5,27.5,75.8119
-29.5,28.5,82.71207
-29.5,29.5,89.969
-29.5,30.5,64.60336
-29.5,115.5,38.87896
-29.5,116.5,50.288628
-29.5,117.5,55.83566
-29.5,118.5,48.06641
-29.5,119.5,47.73433
-29.5,120.5,48.218872
-29.5,121.5,56.24604
-29.5,122.5,54.255863
-29.5,123.5,53.94035
-29.5,124.5,54.56008
-29.5,125.5,58.778755
-29.5,126.5,61.00678
-29.5,127.5,58.86744
-29.5,128.5,54.884197
-29.5,129.5,57.97344
-29.5,130.5,56.59368
-29.5,131.5,54.920822
-29.5,132.5,51.619175
-29.5,133.5,51.11113
-29.5,134.5,51.607956
-29.5,135.5,57.852783
-29.5,136.5,61.862095
-29.5,137.5,67.5937
-29.5,138.5,65.30322
-29.5,139.5,68.70883
-29.5,140.5,46.052853
-29.5,141.5,82.22655
-29.5,142.5,57.918568
-29.5,143.5,52.356148
-29.5,144.5,51.54128
-29.5,145.5,58.46
-29.5,146.5,75.634
-29.5,147.5,73.65916
-29.5,148.5,70.86209
-29.5,149.5,73.13875
-29.5,150.5,64.980194
-29.5,151.5,68.85027
-29.5,152.5,69.052895
-28.5,-70.5,51.54646
-28.5,-69.5,53.736156
-28.5,-68.5,57.4131
-28.5,-67.5,61.060425
-28.5,-66.5,71.96884
-28.5,-65.5,39.07339
-28.5,-64.5,50.45397
-28.5,-63.5,70.453896
-28.5,-62.5,54.55487
-28.5,-61.5,57.843224
-28.5,-60.5,85.98966
-28.5,-59.5,91.473785
-28.5,-58.5,97.447586
-28.5,-57.5,100.34866
-28.5,-56.5,102.09155
-28.5,-55.5,111.879684
-28.5,-54.5,110.5365
-28.5,-53.5,114.23047
-28.5,-52.5,117.805855
-28.5,-51.5,118.97823
-28.5,-50.5,109.14005
-28.5,-49.5,107.98896
-28.5,16.5,48.12253
-28.5,17.5,51.82518
-28.5,18.5,54.13622
-28.5,19.5,51.818474
-28.5,20.5,46.48566
-28.5,21.5,48.843678
-28.5,22.5,51.446102
-28.5,23.5,45.225063
-28.5,24.5,48.157784
-28.5,25.5,45.82267
-28.5,26.5,53.21634
-28.5,27.5,56.461414
-28.5,28.5,72.8859
-28.5,29.5,59.61385
-28.5,30.5,76.02706
-28.5,31.5,84.52525
-28.5,114.5,31.638014
-28.5,115.5,50.29497
-28.5,116.5,56.053776
-28.5,117.5,57.04761
-28.5,118.5,54.609722
-28.5,119.5,51.274876
-28.5,120.5,52.28297
-28.5,121.5,56.364437
-28.5,122.5,52.93757
-28.5,123.5,57.055206
-28.5,124.5,54.218754
-28.5,125.5,53.278748
-28.5,126.5,56.33371
-28.5,127.5,49.649662
-28.5,128.5,49.695435
-28.5,129.5,48.463097
-28.5,130.5,46.215214
-28.5,131.5,43.80134
-28.5,132.5,48.20055
-28.5,133.5,47.985878
-28.5,134.5,63.34445
-28.5,135.5,66.45982
-28.5,136.5,62.26968
-28.5,137.5,70.28158
-28.5,138.5,51.199436
-28.5,139.5,48.958878
-28.5,140.5,43.811726
-28.5,141.5,51.087997
-28.5,142.5,85.0005
-28.5,143.5,56.134834
-28.5,144.5,54.737473
-28.5,145.5,58.71308
-28.5,146.5,56.349064
-28.5,147.5,56.643295
-28.5,148.5,57.849174
-28.5,149.5,77.02771
-28.5,150.5,67.14532
-28.5,151.5,74.37948
-28.5,152.5,68.75891
-28.5,153.5,71.576836
-27.5,-70.5,47.62646
-27.5,-69.5,51.13103
-27.5,-68.5,66.98463
-27.5,-67.5,62.955494
-27.5,-66.5,81.22731
-27.5,-65.5,58.42963
-27.5,-64.5,47.866947
-27.5,-63.5,57.600643
-27.5,-62.5,53.22523
-27.5,-61.5,56.62673
-27.5,-60.5,71.65115
-27.5,-59.5,81.34086
-27.5,-58.5,98.81945
-27.5,-57.5,99.70089
-27.5,-56.5,103.30633
-27.5,-55.5,114.33284
-27.5,-54.5,114.13711
-27.5,-53.5,114.48204
-27.5,-52.5,115.98477
-27.5,-51.5,121.58262
-27.5,-50.5,111.12858
-27.5,-49.5,108.51121
-27.5,15.5,48.00638
-27.5,16.5,50.44322
-27.5,17.5,56.31549
-27.5,18.5,50.771313
-27.5,19.5,49.704285
-27.5,20.5,48.521378
-27.5,21.5,48.352688
-27.5,22.5,48.059612
-27.5,23.5,44.40253
-27.5,24.5,45.3707
-27.5,25.5,46.033104
-27.5,26.5,42.184814
-27.5,27.5,78.7886
-27.5,28.5,75.21224
-27.5,29.5,77.44906
-27.5,30.5,57.212494
-27.5,31.5,85.59014
-27.5,32.5,51.048943
-27.5,114.5,44.99548
-27.5,115.5,52.648903
-27.5,116.5,52.906677
-27.5,117.5,53.307346
-27.5,118.5,49.447517
-27.5,119.5,48.14351
-27.5,120.5,49.79575
-27.5,121.5,53.206455
-27.5,122.5,52.018085
-27.5,123.5,52.77021
-27.5,124.5,54.139175
-27.5,125.5,52.48594
-27.5,126.5,54.822773
-27.5,127.5,54.613064
-27.5,128.5,48.53003
-27.5,129.5,56.816322
-27.5,130.5,53.877735
-27.5,131.5,50.301674
-27.5,132.5,40.084682
-27.5,133.5,45.745853
-27.5,134.5,58.615215
-27.5,135.5,62.06853
-27.5,136.5,66.34628
-27.5,137.5,52.7309
-27.5,138.5,67.68168
-27.5,139.5,48.996796
-27.5,140.5,75.5597
-27.5,141.5,71.54811
-27.5,142.5,52.787537
-27.5,143.5,55.27686
-27.5,144.5,56.75357
-27.5,145.5,56.996284
-27.5,146.5,53.857185
-27.5,147.5,53.94338
-27.5,148.5,57.227345
-27.5,149.5,79.72563
-27.5,150.5,67.99989
-27.5,151.5,90.020195
-27.5,152.5,71.007065
-26.5,-70.5,44.5179
-26.5,-69.5,47.46353
-26.5,-68.5,66.10521
-26.5,-67.5,74.33602
-26.5,-66.5,76.051315
-26.5,-65.5,57.015854
-26.5,-64.5,52.037975
-26.5,-63.5,55.33891
-26.5,-62.5,57.650017
-26.5,-61.5,60.70273
-26.5,-60.5,72.252884
-26.5,-59.5,76.16151
-26.5,-58.5,97.807396
-26.5,-57.5,95.27277
-26.5,-56.5,82.77112
-26.5,-55.5,113.1994
-26.5,-54.5,113.97574
-26.5,-53.5,119.550476
-26.5,-52.5,120.0584
-26.5,-51.5,110.36236
-26.5,-50.5,109.33405
-26.5,-49.5,87.65439
-26.5,15.5,50.706413
-26.5,16.5,45.537384
-26.5,17.5,59.37275
-26.5,18.5,63.643433
-26.5,19.5,50.970085
-26.5,20.5,51.799877
-26.5,21.5,54.28165
-26.5,22.5,49.535114
-26.5,23.5,48.489635
-26.5,24.5,44.47413
-26.5,25.5,45.56048
-26.5,26.5,48.077343
-26.5,27.5,59.6553
-26.5,28.5,56.81008
-26.5,29.5,78.11175
-26.5,30.5,55.47629
-26.5,31.5,81.125824
-26.5,32.5,55.79729
-26.5,114.5,44.102192
-26.5,115.5,49.84767
-26.5,116.5,50.63722
-26.5,117.5,50.573475
-26.5,118.5,51.282238
-26.5,119.5,51.427097
-26.5,120.5,51.950424
-26.5,121.5,55.49101
-26.5,122.5,59.853176
-26.5,123.5,54.025322
-26.5,124.5,55.074566
-26.5,125.5,59.07619
-26.5,126.5,57.49699
-26.5,127.5,55.371334
-26.5,128.5,55.11526
-26.5,129.5,53.05816
-26.5,130.5,49.323654
-26.5,131.5,50.46321
-26.5,132.5,48.715416
-26.5,133.5,43.730305
-26.5,134.5,53.264854
-26.5,135.5,57.34752
-26.5,136.5,42.021713
-26.5,137.5,50.838898
-26.5,138.5,49.98844
-26.5,139.5,81.58288
-26.5,140.5,62.53296
-26.5,141.5,72.31403
-26.5,142.5,55.102776
-26.5,143.5,56.35596
-26.5,144.5,57.92894
-26.5,145.5,55.204304
-26.5,146.5,52.01072
-26.5,147.5,54.41936
-26.5,148.5,63.25626
-26.5,149.5,66.08354
-26.5,150.5,69.1478
-26.5,151.5,72.011505
-26.5,152.5,67.93588
-25.5,-70.5,41.63891
-25.5,-69.5,44.327095
-25.5,-68.5,64.87342
-25.5,-67.5,73.21724
-25.5,-66.5,75.64059
-25.5,-65.5,72.988945
-25.5,-64.5,69.13991
-25.5,-63.5,56.932247
-25.5,-62.5,55.101265
-25.5,-61.5,58.818233
-25.5,-60.5,70.523766
-25.5,-59.5,75.28452
-25.5,-58.5,96.51164
-25.5,-57.5,87.1383
-25.5,-56.5,83.686806
-25.5,-55.5,82.44045
-25.5,-54.5,112.305534
-25.5,-53.5,119.32388
-25.5,-52.5,119.10929
-25.5,-51.5,109.161606
-25.5,-50.5,106.92418
-25.5,-49.5,86.46209
-25.5,-48.5,87.31287
-25.5,15.5,38.564182
-25.5,16.5,45.172882
-25.5,17.5,58.811283
-25.5,18.5,60.509396
-25.5,19.5,51.335533
-25.5,20.5,55.51677
-25.5,21.5,58.09364
-25.5,22.5,50.17848
-25.5,23.5,48.749695
-25.5,24.5,44.870125
-25.5,25.5,45.301094
-25.5,26.5,48.390602
-25.5,27.5,54.852707
-25.5,28.5,50.729958
-25.5,29.5,58.214493
-25.5,30.5,48.41266
-25.5,31.5,56.30563
-25.5,32.5,41.599823
-25.5,45.5,53.06665
-25.5,114.5,48.180508
-25.5,115.5,58.070187
-25.5,116.5,54.601616
-25.5,117.5,51.803654
-25.5,118.5,52.443672
-25.5,119.5,54.36328
-25.5,120.5,57.30002
-25.5,121.5,60.20365
-25.5,122.5,62.500896
-25.5,123.5,56.01934
-25.5,124.5,59.33404
-25.5,125.5,60.975132
-25.5,126.5,56.351242
-25.5,127.5,51.515602
-25.5,128.5,53.917835
-25.5,129.5,51.628643
-25.5,130.5,47.291153
-25.5,131.5,47.28543
-25.5,132.5,46.015938
-25.5,133.5,45.931057
-25.5,134.5,40.808548
-25.5,135.5,39.021027
-25.5,136.5,36.56797
-25.5,137.5,42.069046
-25.5,138.5,45.330223
-25.5,139.5,68.25951
-25.5,140.5,84.14983
-25.5,141.5,52.532894
-25.5,142.5,71.27655
-25.5,143.5,56.6502
-25.5,144.5,56.673603
-25.5,145.5,68.868065
-25.5,146.5,68.356964
-25.5,147.5,56.866123
-25.5,148.5,61.035027
-25.5,149.5,87.860504
-25.5,150.5,67.46123
-25.5,151.5,70.75278
-25.5,152.5,69.25587
-24.5,-70.5,39.137985
-24.5,-69.5,43.388206
-24.5,-68.5,49.42305
-24.5,-67.5,73.26802
-24.5,-66.5,75.8967
-24.5,-65.5,55.75205
