lat,lon,AIRS3STM_006_RelHumSurf_A
-89.5,67.5,84.671295
-89.5,68.5,86.24496
-89.5,69.5,84.59736
-89.5,70.5,85.47669
-89.5,71.5,85.7
-89.5,72.5,87.05324
-89.5,73.5,83.86439
-89.5,74.5,85.62963
-89.5,75.5,86.23162
-89.5,76.5,85.7621
-89.5,77.5,85.05649
-89.5,78.5,85.6778
-89.5,79.5,85.11224
-89.5,80.5,85.194855
-89.5,81.5,84.72642
-89.5,82.5,86.13875
-89.5,83.5,85.68852
-89.5,84.5,85.289505
-89.5,85.5,85.019135
-89.5,86.5,86.30995
-89.5,87.5,85.224266
-89.5,88.5,86.64955
-89.5,89.5,86.4974
-89.5,90.5,84.85613
-89.5,91.5,86.35817
-89.5,92.5,84.76059
-89.5,93.5,86.48724
-89.5,94.5,86.09933
-89.5,95.5,86.329865
-89.5,96.5,84.99479
-89.5,97.5,86.01375
-89.5,98.5,85.04567
-89.5,99.5,85.90196
-89.5,100.5,84.86343
-89.5,101.5,85.88903
-89.5,102.5,85.3775
-89.5,103.5,84.71759
-89.5,104.5,85.158485
-89.5,105.5,85.61887
-89.5,106.5,85.25231
-89.5,107.5,85.55787
-89.5,108.5,84.90986
-89.5,109.5,85.946594
-89.5,110.5,86.507675
-89.5,111.5,85.82924
-89.5,112.5,84.52168
-89.5,113.5,86.1152
-89.5,114.5,85.46344
-89.5,115.5,86.22836
-89.5,116.5,85.54567
-89.5,117.5,85.953705
-89.5,118.5,84.56604
-89.5,119.5,84.475
-89.5,120.5,85.26683
-89.5,121.5,84.8225
-89.5,122.5,85.60625
-89.5,123.5,85.20573
-89.5,124.5,85.74875
-89.5,125.5,85.24519
-89.5,126.5,86.420456
-89.5,127.5,86.14693
-89.5,128.5,84.83854
-89.5,129.5,84.479164
-89.5,130.5,85.8275
-89.5,131.5,86.51716
-89.5,132.5,87.31591
-89.5,133.5,85.60784
-89.5,134.5,84.29963
-89.5,135.5,85.462265
-89.5,136.5,84.76786
-89.5,137.5,85.69515
-89.5,138.5,85.32031
-89.5,139.5,84.086624
-89.5,140.5,84.35142
-89.5,141.5,85.90885
-89.5,142.5,85.08036
-89.5,143.5,85.73113
-89.5,144.5,85.54808
-89.5,145.5,83.94975
-89.5,146.5,87.02616
-89.5,147.5,86.18171
-89.5,148.5,86.51125
-89.5,149.5,84.675705
-89.5,150.5,85.71811
-89.5,151.5,83.280045
-89.5,152.5,84.714096
-89.5,153.5,85.8125
-89.5,154.5,87.34014
-89.5,155.5,85.25625
-89.5,156.5,86.19149
-89.5,157.5,85.15292
-89.5,158.5,85.4867
-89.5,159.5,83.59226
-89.5,160.5,87.02125
-89.5,161.5,85.64535
-89.5,162.5,86.176865
-89.5,163.5,84.46875
-89.5,164.5,84.96691
-89.5,165.5,84.69643
-89.5,166.5,83.308334
-89.5,167.5,85.57244
-89.5,168.5,85.45182
-89.5,169.5,86.38227
-89.5,170.5,84.64923
-89.5,171.5,86.25852
-89.5,172.5,84.95731
-89.5,173.5,83.52393
-89.5,174.5,86.13333
-89.5,175.5,85.09511
-89.5,176.5,85.45573
-89.5,177.5,84.89402
-89.5,178.5,85.59918
-89.5,179.5,85.44041
-88.5,-179.5,87.129166
-88.5,-178.5,84.770195
-88.5,-177.5,85.6756
