lat,lon,GLDAS_NOAH10_M_2_1_Tair_f_inst
-33.5,119.5,289.27084
-33.5,120.5,289.55368
-33.5,121.5,289.8002
-33.5,122.5,289.9251
-33.5,123.5,290.27765
-33.5,135.5,291.11865
-33.5,136.5,290.93707
-33.5,138.5,289.79608
-33.5,139.5,291.01675
-33.5,140.5,292.22018
-33.5,141.5,292.5459
-33.5,142.5,292.29315
-33.5,143.5,292.4706
-33.5,144.5,292.51572
-33.5,145.5,291.62918
-33.5,146.5,291.20667
-33.5,147.5,290.0288
-33.5,148.5,288.06485
-33.5,149.5,286.41296
-33.5,150.5,288.3466
-32.5,-70.5,279.18048
-32.5,-69.5,277.01053
-32.5,-68.5,290.23898
-32.5,-67.5,292.93915
-32.5,-66.5,290.92593
-32.5,-65.5,289.8918
-32.5,-64.5,289.14886
-32.5,-63.5,291.27118
-32.5,-62.5,291.5818
-32.5,-61.5,291.58047
-32.5,-60.5,291.64502
-32.5,-59.5,291.26224
-32.5,-58.5,291.16464
-32.5,-57.5,290.84283
-32.5,-56.5,290.97192
-32.5,-55.5,290.23785
-32.5,-54.5,290.17163
-32.5,-53.5,290.8321
-32.5,-52.5,291.979
-32.5,18.5,290.6228
-32.5,19.5,291.19513
-32.5,20.5,290.4922
-32.5,21.5,289.362
-32.5,22.5,290.16238
-32.5,23.5,290.21628
-32.5,24.5,289.18768
-32.5,25.5,290.3588
-32.5,26.5,289.15146
-32.5,27.5,289.8652
-32.5,28.5,290.56555
-32.5,116.5,289.87082
-32.5,117.5,290.3049
-32.5,118.5,290.37595
-32.5,119.5,289.7273
-32.5,120.5,289.86813
-32.5,121.5,290.03217
-32.5,122.5,289.86285
-32.5,123.5,290.56906
-32.5,124.5,291.09506
-32.5,125.5,290.97446
-32.5,134.5,291.7873
-32.5,135.5,292.367
-32.5,136.5,292.1566
-32.5,137.5,292.2591
-32.5,138.5,290.56613
-32.5,139.5,291.79395
-32.5,140.5,292.61246
-32.5,141.5,292.99188
-32.5,142.5,293.36505
-32.5,143.5,293.19275
-32.5,144.5,292.9572
-32.5,145.5,292.08957
-32.5,146.5,291.33606
-32.5,147.5,291.1935
-32.5,148.5,289.77466
-32.5,149.5,288.503
-32.5,150.5,288.96613
-32.5,151.5,289.39035
-31.5,-71.5,286.1279
-31.5,-70.5,280.08316
-31.5,-69.5,275.41486
-31.5,-68.5,287.24203
-31.5,-67.5,291.43283
-31.5,-66.5,293.4315
-31.5,-65.5,291.64627
-31.5,-64.5,288.3873
-31.5,-63.5,292.0385
-31.5,-62.5,292.4533
-31.5,-61.5,292.32092
-31.5,-60.5,292.27026
-31.5,-59.5,291.85114
-31.5,-58.5,291.68695
-31.5,-57.5,291.48682
-31.5,-56.5,291.33688
-31.5,-55.5,290.7394
-31.5,-54.5,290.62152
-31.5,-53.5,290.65463
-31.5,-52.5,291.3226
-31.5,18.5,291.24954
-31.5,19.5,291.63568
-31.5,20.5,290.0193
-31.5,21.5,289.84402
-31.5,22.5,289.73193
-31.5,23.5,290.0751
-31.5,24.5,288.65125
-31.5,25.5,288.49002
-31.5,26.5,287.97168
-31.5,27.5,287.56866
-31.5,28.5,289.0586
-31.5,29.5,290.81567
-31.5,116.5,291.0204
-31.5,117.5,291.67355
-31.5,118.5,291.62125
-31.5,119.5,290.74048
-31.5,120.5,291.051
-31.5,121.5,291.24487
-31.5,122.5,290.8973
-31.5,123.5,291.7434
-31.5,124.5,292.31796
-31.5,125.5,292.33005
-31.5,126.5,292.30682
-31.5,127.5,292.26083
-31.5,128.5,291.8876
-31.5,129.5,291.61844
-31.5,130.5,291.84354
-31.5,131.5,291.7352
-31.5,132.5,292.1754
-31.5,133.5,292.20602
-31.5,134.5,292.52298
-31.5,135.5,293.31418
-31.5,136.5,293.6188
-31.5,137.5,293.5803
-31.5,138.5,292.35355
-31.5,139.5,293.37677
-31.5,140.5,293.77957
-31.5,141.5,293.39972
-31.5,142.5,293.3929
-31.5,143.5,293.7759
-31.5,144.5,293.63434
-31.5,145.5,292.6374
-31.5,146.5,292.06177
-31.5,147.5,292.1672
-31.5,148.5,291.15842
-31.5,149.5,289.4381
-31.5,150.5,288.52844
-31.5,151.5,287.949
-31.5,152.5,289.90305
-30.5,-71.5,288.42725
-30.5,-70.5,283.39148
-30.5,-69.5,278.32523
-30.5,-68.5,289.62384
-30.5,-67.5,291.1786
-30.5,-66.5,294.3116
-30.5,-65.5,294.50983
-30.5,-64.5,291.837
-30.5,-63.5,292.2376
-30.5,-62.5,293.52957
-30.5,-61.5,293.19943
-30.5,-60.5,293.24918
-30.5,-59.5,292.7141
-30.5,-58.5,292.3712
-30.5,-57.5,292.41312
-30.5,-56.5,292.2767
-30.5,-55.5,291.94583
-30.5,-54.5,291.55496
-30.5,-53.5,291.5373
-30.5,-52.5,291.99167
-30.5,-51.5,292.16263
-30.5,17.5,290.10126
-30.5,18.5,291.80124
-30.5,19.5,291.69955
-30.5,20.5,292.23322
-30.5,21.5,292.267
-30.5,22.5,292.14203
-30.5,23.5,292.0152
-30.5,24.5,291.49182
-30.5,25.5,289.952
-30.5,26.5,288.988
-30.5,27.5,286.07883
-30.5,28.5,285.2456
-30.5,29.5,289.23822
-30.5,30.5,291.02997
-30.5,115.5,292.59723
-30.5,116.5,292.35117
-30.5,117.5,292.74875
-30.5,118.5,292.20886
-30.5,119.5,291.94922
-30.5,120.5,291.95157
-30.5,121.5,292.21457
-30.5,122.5,292.23434
-30.5,123.5,292.5504
-30.5,124.5,293.14816
-30.5,125.5,293.4195
-30.5,126.5,293.26096
-30.5,127.5,293.18622
-30.5,128.5,293.0835
-30.5,129.5,293.21173
-30.5,130.5,293.57803
-30.5,131.5,293.14145
-30.5,132.5,293.40924
-30.5,133.5,293.49915
-30.5,134.5,293.71442
-30.5,135.5,294.2113
-30.5,136.5,294.5808
-30.5,137.5,294.45172
-30.5,138.5,292.6827
-30.5,139.5,293.62042
-30.5,140.5,295.40378
-30.5,141.5,294.29968
-30.5,142.5,294.3463
-30.5,143.5,294.45282
-30.5,144.5,294.97122
-30.5,145.5,294.07278
-30.5,146.5,293.6445
-30.5,147.5,293.33734
-30.5,148.5,292.7449
-30.5,149.5,291.61615
-30.5,150.5,289.99292
-30.5,151.5,287.0971
-30.5,152.5,288.6081
-29.5,-70.5,285.7491
-29.5,-69.5,277.88846
-29.5,-68.5,284.01242
-29.5,-67.5,285.53485
-29.5,-66.5,293.30066
-29.5,-65.5,295.20874
-29.5,-64.5,294.05414
-29.5,-63.5,292.9758
-29.5,-62.5,294.20697
-29.5,-61.5,293.99548
-29.5,-60.5,293.74704
-29.5,-59.5,293.28378
-29.5,-58.5,292.9157
-29.5,-57.5,292.91995
-29.5,-56.5,293.16486
-29.5,-55.5,292.77902
-29.5,-54.5,292.12286
-29.5,-53.5,292.11044
-29.5,-52.5,291.64026
-29.5,-51.5,291.40268
-29.5,-50.5,291.4501
-29.5,17.5,291.47864
-29.5,18.5,292.52502
-29.5,19.5,292.80658
-29.5,20.5,293.7638
-29.5,21.5,293.95218
-29.5,22.5,293.19916
-29.5,23.5,293.6261
-29.5,24.5,292.79868
-29.5,25.5,291.45746
-29.5,26.5,289.74762
-29.5,27.5,286.89273
-29.5,28.5,284.0361
-29.5,29.5,284.9532
-29.5,30.5,288.94485
-29.5,115.5,293.65848
-29.5,116.5,293.21277
-29.5,117.5,293.18353
-29.5,118.5,293.38535
-29.5,119.5,293.2713
-29.5,120.5,293.43054
-29.5,121.5,293.38815
-29.5,122.5,293.1984
-29.5,123.5,293.3522
-29.5,124.5,293.9277
-29.5,125.5,294.3065
-29.5,126.5,294.3986
-29.5,127.5,294.1456
-29.5,128.5,294.0487
-29.5,129.5,294.08255
-29.5,130.5,294.38736
-29.5,131.5,294.20215
-29.5,132.5,294.51205
-29.5,133.5,294.89432
-29.5,134.5,295.13403
-29.5,135.5,295.34793
-29.5,136.5,295.87717
-29.5,137.5,296.287
-29.5,138.5,296.07843
-29.5,139.5,295.59326
-29.5,140.5,295.9375
-29.5,141.5,295.66855
-29.5,142.5,295.75226
-29.5,143.5,295.40817
-29.5,144.5,295.35663
-29.5,145.5,295.10257
-29.5,146.5,294.87125
-29.5,147.5,294.44
-29.5,148.5,293.77448
-29.5,149.5,293.0715
-29.5,150.5,291.1951
-29.5,151.5,288.22263
-29.5,152.5,288.76196
-28.5,-70.5,288.10648
-28.5,-69.5,276.08127
-28.5,-68.5,276.8022
-28.5,-67.5,282.75638
-28.5,-66.5,290.61414
-28.5,-65.5,293.6272
-28.5,-64.5,294.35593
-28.5,-63.5,294.62897
-28.5,-62.5,294.27142
-28.5,-61.5,294.273
-28.5,-60.5,294.0883
-28.5,-59.5,293.8782
-28.5,-58.5,293.72354
-28.5,-57.5,293.7327
-28.5,-56.5,293.74167
-28.5,-55.5,293.33005
-28.5,-54.5,292.35687
-28.5,-53.5,291.82037
-28.5,-52.5,290.2926
-28.5,-51.5,289.8179
-28.5,-50.5,288.3369
-28.5,-49.5,289.66412
-28.5,16.5,290.98618
-28.5,17.5,293.32806
-28.5,18.5,294.75165
-28.5,19.5,294.07614
