Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3853018,MALARIA_PF_INDIG,COUNTRY,GIN,AFR,Africa,YEAR,2017,,,,,,,,,1 335 323,1335323,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
5821439,MALARIA_PF_INDIG,COUNTRY,COD,AFR,Africa,YEAR,2015,,,,,,,,,12 538 805,12538805,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
2678799,MALARIA_PF_INDIG,REGION,EUR,,,YEAR,2017,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
8538401,MALARIA_PF_INDIG,COUNTRY,UGA,AFR,Africa,YEAR,2016,,,,,,,,,9 385 132,9385132,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
5148756,MALARIA_PF_INDIG,COUNTRY,LAO,WPR,Western Pacific,YEAR,2020,,,,,,,,,1573,1573,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
2105335,MALARIA_PF_INDIG,COUNTRY,NER,AFR,Africa,YEAR,2020,,,,,,,,,4 154 337,4154337,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
2105356,MALARIA_PF_INDIG,COUNTRY,GNB,AFR,Africa,YEAR,2016,,,,,,,,,156 471,156471,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
4408925,MALARIA_PF_INDIG,COUNTRY,THA,SEAR,South-East Asia,YEAR,2016,,,,,,,,,1774,1774,,,,2024-12-10T17:44:48Z,2016,2016-01-01,2016-12-31
6115104,MALARIA_PF_INDIG,REGION,AFR,,,YEAR,2017,,,,,,,,,77 338 014,77338014,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3038889,MALARIA_PF_INDIG,COUNTRY,NGA,AFR,Africa,YEAR,2017,,,,,,,,,13 087 878,13087878,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
3272562,MALARIA_PF_INDIG,COUNTRY,TJK,EUR,Europe,YEAR,2019,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2019,2019-01-01,2019-12-31
2812344,MALARIA_PF_INDIG,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2022,,,,,,,,,152 899,152899,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
6461543,MALARIA_PF_INDIG,COUNTRY,BLZ,AMR,Americas,YEAR,2022,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2022,2022-01-01,2022-12-31
5901553,MALARIA_PF_INDIG,COUNTRY,NGA,AFR,Africa,YEAR,2018,,,,,,,,,14 548 024,14548024,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
8005608,MALARIA_PF_INDIG,COUNTRY,PER,AMR,Americas,YEAR,2017,,,,,,,,,13 173,13173,,,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
6401639,MALARIA_PF_INDIG,COUNTRY,PAN,AMR,Americas,YEAR,2023,,,,,,,,,10,10,,,,2024-12-10T17:44:48Z,2023,2023-01-01,2023-12-31
5162215,MALARIA_PF_INDIG,COUNTRY,COG,AFR,Africa,YEAR,2015,,,,,,,,,51 529,51529,,,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
3679706,MALARIA_PF_INDIG,COUNTRY,RWA,AFR,Africa,YEAR,2020,,,,,,,,,2 043 392,2043392,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6148335,MALARIA_PF_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2020,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
1252028,MALARIA_PF_INDIG,COUNTRY,NER,AFR,Africa,YEAR,2018,,,,,,,,,3 046 450,3046450,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
951968,MALARIA_PF_INDIG,COUNTRY,ARG,AMR,Americas,YEAR,2021,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
9503570,MALARIA_PF_INDIG,COUNTRY,DZA,AFR,Africa,YEAR,2020,,,,,,,,,0,0,,,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
3065730,MALARIA_PF_INDIG,COUNTRY,PHL,WPR,Western Pacific,YEAR,2018,,,,,,,,,1310,1310,,,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
7060732,MALARIA_PF_INDIG,COUNTRY,SLB,WPR,Western Pacific,YEAR,2021,,,,,,,,,22 057,22057,,,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
