HH1,HH2,TNLN,TN3,TN4,TN5,TN5A,TN5B,TN7,TN8,TN9,TN10,TN11_1,TN11_2,TN11_3,TN11_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
2,15,3,2,2,11,12,9995, , , ,2, , , , ,3,1,1,2,2,0.9686190132832084,-0.5404513624215878,1
2,16,1,1,5,11,12,9995, , , ,1,1,4,90, ,3,1,1,2,2,0.9686190132832084,0.03827408577013738,4
2,16,2,1,5,12,12,9995, , , ,1,5,6,7,90,3,1,1,2,2,0.9686190132832084,0.03827408577013738,4
2,16,3,1,5,12,12,9995, , , ,1,2,90, , ,3,1,1,2,2,0.9686190132832084,0.03827408577013738,4
2,17,1,1,5,11,12,9995, , , ,1,1,90, , ,2,1,1,2,2,0.9686190132832084,-0.5317814575920198,1
2,17,2,1,5,11,12,9995, , , ,1,6,7,90, ,2,1,1,2,2,0.9686190132832084,-0.5317814575920198,1
2,18,1,1,3,12,13,9995, , , ,1,1,2,4,90,4,1,1,1,2,0.9686190132832084,0.10043716712901793,4
2,18,2,1,3,12,13,9995, , , ,2, , , , ,4,1,1,1,2,0.9686190132832084,0.10043716712901793,4
2,18,3,1,3,12,13,9995, , , ,2, , , , ,4,1,1,1,2,0.9686190132832084,0.10043716712901793,4
2,18,4,1,95,11,32,300, , , ,1,3,90, , ,4,1,1,1,2,0.9686190132832084,0.10043716712901793,4
2,19,1,1,95,12,13,200, , , ,1,1,90, , ,2,1,1,2,2,0.9686190132832084,-0.3500060534715054,3
2,19,2,2,4,12,13,9995, , , ,2, , , , ,2,1,1,2,2,0.9686190132832084,-0.3500060534715054,3
2,21,1,1,4,11,13,9995, , , ,1,1,90, , ,2,1,1,1,2,0.9686190132832084,-0.3917193238824981,3
2,21,2,2,4,11,13,9995, , , ,1,2,3,90, ,2,1,1,1,2,0.9686190132832084,-0.3917193238824981,3
2,22,1,1,2,16,13,9995, , , ,1,1,2,90, ,2,1,1,2,2,0.9686190132832084,-0.4350701760847783,2
2,22,2,1,2,11,13,9995, , , ,2, , , , ,2,1,1,2,2,0.9686190132832084,-0.4350701760847783,2
2,23,1,1,8,13,12,9995, , , ,1,1,2,90, ,2,1,1,3,2,0.9686190132832084,-0.3913980548492496,3
2,23,2,1,8,13,12,9995, , , ,1,3,4,90, ,2,1,1,3,2,0.9686190132832084,-0.3913980548492496,3
2,24,1,1,5,11,12,9995, , , ,1,1,2,7,90,3,1,1,2,1,0.9686190132832084,0.24413172451725065,4
2,24,2,1,5,11,12,9995, , , ,1,6,8,90, ,3,1,1,2,1,0.9686190132832084,0.24413172451725065,4
2,24,3,1,5,11,12,9995, , , ,1,4,5,90, ,3,1,1,2,1,0.9686190132832084,0.24413172451725065,4
2,25,1,1,24,12,13,50, , , ,2, , , , ,2,1,1,1,1,0.9686190132832084,1.5929360547135825,5
2,25,2,1,24,12,13,50, , , ,2, , , , ,2,1,1,1,1,0.9686190132832084,1.5929360547135825,5
3,1,1,2,3,21,12,9995, ,2, ,2, , , , ,1,1,1,2,2,0.9586636598920221,-0.4799036813804941,2
3,2,1,2,2,11,15,9995, , , ,1,1,2,90, ,2,1,1,2,2,0.9586636598920221,-0.2640278846751855,3
3,2,2,1,99,18,32,350, , , ,1,3,4,90, ,2,1,1,2,2,0.9586636598920221,-0.2640278846751855,3
3,4,1,1,98,12,13,9995, , , ,1,1,2,9,90,2,1,1,2,4,0.9586636598920221,-0.5378743492423896,1
3,4,2,1,98,12,13,9995, , , ,1,7,8,90, ,2,1,1,2,4,0.9586636598920221,-0.5378743492423896,1
3,5,1,1,5,11,16,9995, , , ,1,1,2,90, ,3,1,1,2,2,0.9586636598920221,-0.2967097558238515,3
3,5,2,1,5,11,16,9995, , , ,1,3,4,5,90,3,1,1,2,2,0.9586636598920221,-0.2967097558238515,3
3,5,3,1,5,11,16,9995, , , ,2, , , , ,3,1,1,2,2,0.9586636598920221,-0.2967097558238515,3
3,6,1,1,12,21,16,9995, ,1,98,2, , , , ,2,1,1,1,2,0.9586636598920221,-0.1883999916802613,4
3,6,2,2,4,11,13,9995, , , ,2, , , , ,2,1,1,1,2,0.9586636598920221,-0.1883999916802613,4
3,7,1,1,95,11,12,9995, , , ,1,1,3,90, ,4,1,1,2,2,0.9586636598920221,-0.4574834663797562,2
3,7,2,2,3,98,13,9995,2,2, ,1,4,7,90, ,4,1,1,2,2,0.9586636598920221,-0.4574834663797562,2
3,7,3,2,95,98,13,9995,2,2, ,1,2,90, , ,4,1,1,2,2,0.9586636598920221,-0.4574834663797562,2
3,7,4,1,95,11,13,9995, , , ,1,5,6,90, ,4,1,1,2,2,0.9586636598920221,-0.4574834663797562,2
3,8,1,1,98,11,16,9995, , , ,1,1,2,90, ,2,1,1,1,2,0.9586636598920221,-0.48981503722971786,2
3,8,2,1,98,11,16,9995, , , ,2, , , , ,2,1,1,1,2,0.9586636598920221,-0.48981503722971786,2
3,9,1,1,31,98,13,9995,1,2, ,1,1,2,90, ,2,1,1,2,1,0.9586636598920221,-0.45896443827837313,2
3,9,2,1,31,98,13,9995,1,2, ,1,3,4,5,6,2,1,1,2,1,0.9586636598920221,-0.45896443827837313,2
3,10,1,1,8,12,12,9995, , , ,1,1,2,90, ,4,1,1,2,1,0.9586636598920221,-0.32953404786359225,3
3,10,2,1,27,18,96,9995, , , ,1,3,90, , ,4,1,1,2,1,0.9586636598920221,-0.32953404786359225,3
3,10,3,1,15,11,15,9995, , , ,2, , , , ,4,1,1,2,1,0.9586636598920221,-0.32953404786359225,3
3,10,4,1,15,11,15,9995, , , ,2, , , , ,4,1,1,2,1,0.9586636598920221,-0.32953404786359225,3
3,11,1,1,24,11,16,9995, , , ,1,1,2,90, ,2,1,1,1,2,0.9586636598920221,0.08440885665533875,4
3,11,2,1,3,11,16,9995, , , ,2, , , , ,2,1,1,1,2,0.9586636598920221,0.08440885665533875,4
3,12,1,1,3,11,96,9995, , , ,1,1,90, , ,4,1,1,2,2,0.9586636598920221,-0.4490448670557134,2
3,12,2,1,6,11,12,9995, , , ,1,2,90, , ,4,1,1,2,2,0.9586636598920221,-0.4490448670557134,2
3,12,3,1,3,11,96,9995, , , ,1,3,4,5,6,4,1,1,2,2,0.9586636598920221,-0.4490448670557134,2
3,12,4,1,3,11,96,9995, , , ,2, , , , ,4,1,1,2,2,0.9586636598920221,-0.4490448670557134,2
3,13,1,1,10,11,13,9995, , , ,1,1,90, , ,5,1,1,1,1,0.9586636598920221,-0.09683461140889436,4
3,13,2,1,5,11,13,9995, , , ,1,2,90, , ,5,1,1,1,1,0.9586636598920221,-0.09683461140889436,4
3,13,3,1,2,11,96,9995, , , ,1,3,90, , ,5,1,1,1,1,0.9586636598920221,-0.09683461140889436,4
3,13,4,1,14,12,12,9995, , , ,1,7,8,5,6,5,1,1,1,1,0.9586636598920221,-0.09683461140889436,4
3,13,5,1,3,12,13,9995, , , ,2, , , , ,5,1,1,1,1,0.9586636598920221,-0.09683461140889436,4
3,14,1,1,4,12,13,9995, , , ,1,1,2,8,90,3,1,1,2,2,0.9586636598920221,-0.3678302732117318,3
3,14,2,1,4,12,13,9995, , , ,1,3,4,90, ,3,1,1,2,2,0.9586636598920221,-0.3678302732117318,3
3,14,3,1,4,12,13,9995, , , ,1,6,5,7,90,3,1,1,2,2,0.9586636598920221,-0.3678302732117318,3
3,15,1,1,4,12,13,9995, , , ,1,1,4,90, ,1,1,1,2,2,0.9586636598920221,-0.47680230618942093,2
3,16,1,9,8,16,16,9995, , , ,1,1,2,5,90,2,1,1,2,2,0.9586636598920221,-0.2289685815631084,4
3,16,2,9,5,11,13,9995, , , ,1,3,4,90, ,2,1,1,2,2,0.9586636598920221,-0.2289685815631084,4
3,17,1,1,24,21,96,9995, ,1,1,1,1,90, , ,2,1,1,1,1,0.9586636598920221,-0.49487890260289985,2
3,17,2,1,24,21,96,9995, ,1,1,1,2,3,90, ,2,1,1,1,1,0.9586636598920221,-0.49487890260289985,2
3,18,1,1,98,11,96,9995, , , ,2, , , , ,3,1,1,2,2,0.9586636598920221,-0.40451709107698314,3
3,18,2,1,98,11,96,9995, , , ,1,3,4,90, ,3,1,1,2,2,0.9586636598920221,-0.40451709107698314,3
3,18,3,1,98,98,32,300,8,1,3,1,1,2,90, ,3,1,1,2,2,0.9586636598920221,-0.40451709107698314,3
3,19,1,1,2,11,13,9995, , , ,1,1,2,90, ,3,1,1,3,2,0.9586636598920221,-0.04412803004012887,4
3,19,2,1,2,11,13,9995, , , ,1,5,8,90, ,3,1,1,3,2,0.9586636598920221,-0.04412803004012887,4
3,19,3,1,2,11,13,9995, , , ,2, , , , ,3,1,1,3,2,0.9586636598920221,-0.04412803004012887,4
3,20,1,1,98,13,13,9998, , , ,1,1,90, , ,1,1,1,1,2,0.9586636598920221,-0.6662208298888707,1
3,21,1,2,98,13,12,9998, , , ,1,2,90, , ,3,1,1,1,2,0.9586636598920221,0.2249866866944291,4
3,21,2,1,98,13,12,9998, , , ,1,3,4,90, ,3,1,1,1,2,0.9586636598920221,0.2249866866944291,4
