HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
4,17,2,1,13,95, , , ,1,3,4,5,90,2,2,3,2,1,0.7021851797712406,0.11803507421516485,4
4,18,1,1,11,95, , , ,1,1,2,90, ,1,2,3,2,1,0.7021851797712406,-0.01817895536981738,4
4,19,1,1,11,95, , , ,1,1,2,3,90,1,2,3,1,1,0.7021851797712406,0.11352658623081041,4
4,21,1,1,12,95, , , ,2, , , , ,2,2,3,3,1,0.7021851797712406,-0.011216913307046529,4
4,21,2,1,12,95, , , ,1,2,4,90, ,2,2,3,3,1,0.7021851797712406,-0.011216913307046529,4
4,23,1,1,11,95, , , ,1,2,8,9,90,1,2,3,2,3,0.7021851797712406,-0.49968634593714273,2
4,25,1,1,11,95, , , ,1,1,2,3,90,1,2,3,2,1,0.7021851797712406,0.2146134605349166,4
5,1,1,1,11,32, , , ,1,1,90, , ,1,2,3,3,3,0.5948851501617076,-0.39068498618021824,3
5,3,1,1,12,30, , , ,1,1,2,9,90,2,2,3,2,1,0.5948851501617076,-0.5115314640535799,2
5,3,2,1,12,30, , , ,2, , , , ,2,2,3,2,1,0.5948851501617076,-0.5115314640535799,2
5,4,1,1,11,32, , , ,1,1,2,6,90,1,2,3,2,3,0.5948851501617076,-0.6913128588080688,1
5,5,1,1,11,27, , , ,2, , , , ,2,2,3,2,3,0.5948851501617076,-0.34394502142728,3
5,5,2,1,11,27, , , ,2, , , , ,2,2,3,2,3,0.5948851501617076,-0.34394502142728,3
5,6,1,1,11,95, , , ,1,5,7,8,90,2,2,3,2,1,0.5948851501617076,0.29057063155575835,4
5,6,2,1,11,95, , , ,1,4,9,90, ,2,2,3,2,1,0.5948851501617076,0.29057063155575835,4
5,7,1,1,11,30, , , ,1,1,2,3,4,1,2,3,2,1,0.5948851501617076,-0.18142258234241931,3
5,8,1,1,13,95, , , ,1,1,2,8,9,2,2,3,2,1,0.5948851501617076,-0.48085512086014376,2
5,8,2,1,13,95, , , ,1,3,4,5,90,2,2,3,2,1,0.5948851501617076,-0.48085512086014376,2
5,9,1,2,11,95, , , ,1,1,2,5,90,2,2,3,2,3,0.5948851501617076,-0.6597534429175875,1
5,9,2,2,11,95, , , ,1,3,4,90, ,2,2,3,2,3,0.5948851501617076,-0.6597534429175875,1
5,10,1,1,11,31, , , ,1,1,2,3,4,1,2,3,1,3,0.5948851501617076,-0.198506253908625,3
5,11,1,1,13,4, , , ,1,1,2,6,5,1,2,3,1,1,0.5948851501617076,-0.39200674036306116,3
5,12,1,1,11,95, , , ,1,1,2,90, ,1,2,3,2,1,0.5948851501617076,-0.12515703079237406,4
5,13,1,1,11,24, , , ,1,1,2,3,90,1,2,3,2,3,0.5948851501617076,-0.6148328555872278,1
5,14,1,1,11,32, , , ,1,1,2,3,5,1,2,3,2,3,0.5948851501617076,-0.5812090085352537,1
5,15,1,1,13,95, , , ,1,3,4,90, ,2,2,3,1,3,0.5948851501617076,-0.572340145798054,1
5,15,2,1,13,95, , , ,1,1,2,5,90,2,2,3,1,3,0.5948851501617076,-0.572340145798054,1
5,16,1,1,13,24, , , ,1,2,9,1,90,1,2,3,1,3,0.5948851501617076,-0.5774335071798954,1
5,17,1,1,11,95, , , ,1,1,2,7,8,3,2,3,3,1,0.5948851501617076,-0.6852723469387603,1
5,17,2,1,11,95, , , ,1,3,90, , ,3,2,3,3,1,0.5948851501617076,-0.6852723469387603,1
5,17,3,1,11,12, , , ,1,4,5,6,90,3,2,3,3,1,0.5948851501617076,-0.6852723469387603,1
5,18,1,1,11,30, , , ,1,1,2,6,90,2,2,3,1,3,0.5948851501617076,-0.39445282602228654,3
5,18,2,1,11,30, , , ,1,3,7,90, ,2,2,3,1,3,0.5948851501617076,-0.39445282602228654,3
5,19,1,1,11,95, , , ,1,1,2,90, ,1,2,3,1,3,0.5948851501617076,-0.5721920325665447,2
5,20,1,1,13,95, , , ,1,1,2,4,5,2,2,3,2,3,0.5948851501617076,-0.49823626073169425,2
5,20,2,1,11,18, , , ,2, , , , ,2,2,3,2,3,0.5948851501617076,-0.49823626073169425,2
5,21,1,1,11,32, , , ,1,1,6,90, ,3,2,3,1,1,0.5948851501617076,-0.17240560637371036,4
5,21,2,1,11,32, , , ,1,2,3,90, ,3,2,3,1,1,0.5948851501617076,-0.17240560637371036,4
5,21,3,1,13,6, , , ,1,4,90, , ,3,2,3,1,1,0.5948851501617076,-0.17240560637371036,4
5,23,1,1,11,32, , , ,1,1,2,3,4,1,2,3,2,3,0.5948851501617076,-0.5849184592636503,1
5,24,1,1,13,24, , , ,1,1,3,4,90,1,2,3,1,3,0.5948851501617076,-0.6852723469387603,1
6,1,1,1,11,95, , , ,1,1,2,4,6,3,2,3,3,1,0.9748648664669459,-0.17838772912934714,3
6,1,2,2,11,95, , , ,1,3,5,7,90,3,2,3,3,1,0.9748648664669459,-0.17838772912934714,3
