HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,ethnicity,religion,region,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
2,12,5,2,12,5, , , ,2, , , , ,5,2,101,4,96,2,1,0.3734785041257784,-0.07946391291507138,4, , ,0.25435143706944474,4
2,13,1,1,11,95, , , ,1,1,90, , ,1,2,101,2,99,96,1,0.3734785041257784,-0.7961240695418194,1, , ,-0.8445371452391774,1
2,14,1,1,12,11, , , ,1,1,90, , ,1,2,101,1,96,5,1,0.3734785041257784,-0.4163015606395623,3, , ,-0.2621375036837071,3
2,15,1,1,12,24, , , ,1,1,2,4,90,6,2,101,4,96,5,1,0.3734785041257784,1.5535007429614485,5, , ,2.758252622399079,5
2,15,2,1,12,18, , , ,1,3,90, , ,6,2,101,4,96,5,1,0.3734785041257784,1.5535007429614485,5, , ,2.758252622399079,5
2,15,3,1,12,18, , , ,2, , , , ,6,2,101,4,96,5,1,0.3734785041257784,1.5535007429614485,5, , ,2.758252622399079,5
2,15,4,1,12,18, , , ,2, , , , ,6,2,101,4,96,5,1,0.3734785041257784,1.5535007429614485,5, , ,2.758252622399079,5
2,15,5,1,12,18, , , ,2, , , , ,6,2,101,4,96,5,1,0.3734785041257784,1.5535007429614485,5, , ,2.758252622399079,5
2,15,6,1,98,95,2,1,95,2, , , , ,6,2,101,4,96,5,1,0.3734785041257784,1.5535007429614485,5, , ,2.758252622399079,5
2,16,1,1,12,0, , , ,1,2,4,90, ,2,2,101,3,96,2,1,0.3734785041257784,-0.28207321242017186,3, , ,-0.05631889089140107,4
2,16,2,1,12,0, , , ,2, , , , ,2,2,101,3,96,2,1,0.3734785041257784,-0.28207321242017186,3, , ,-0.05631889089140107,4
2,18,1,1,11,95, , , ,1,1,2,6,90,3,2,101,2,96,1,1,0.3734785041257784,0.7764275135187125,5, , ,1.5667298461481751,5
2,18,2,1,11,12, , , ,1,3,4,90, ,3,2,101,2,96,1,1,0.3734785041257784,0.7764275135187125,5, , ,1.5667298461481751,5
2,18,3,1,11,2, , , ,1,5,90, , ,3,2,101,2,96,1,1,0.3734785041257784,0.7764275135187125,5, , ,1.5667298461481751,5
2,19,1,1,12,0, , , ,1,7,6,8,90,3,2,101,2,96,5,1,0.3734785041257784,-0.7473116698995323,1, , ,-0.769690806781532,1
2,19,2,1,12,0, , , ,1,10,3,90, ,3,2,101,2,96,5,1,0.3734785041257784,-0.7473116698995323,1, , ,-0.769690806781532,1
2,19,3,1,12,0, , , ,1,11,4,90, ,3,2,101,2,96,5,1,0.3734785041257784,-0.7473116698995323,1, , ,-0.769690806781532,1
2,20,1,1,11,3, , , ,1,1,2,6,90,2,2,101,2,96,5,1,0.3734785041257784,-0.641262383583677,2, , ,-0.607080469347682,2
