HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
1,27,1,1,11,95, , , ,1,1,2,90, , , ,2,2,2,2,1,0.8515508608479451,-0.4186374022096636,3, , ,-0.17885141041982708,3
1,27,2,1,12,95, , , ,1,3,5,90, , , ,2,2,2,2,1,0.8515508608479451,-0.4186374022096636,3, , ,-0.17885141041982708,3
1,28,1,1,12,24, , , ,1,4,8,9,90, , ,5,2,2,2,1,0.8515508608479451,-0.5541955552282538,2, , ,-0.38773067268320055,2
1,28,2,2,12,24, , , ,1,1,2,90, , , ,5,2,2,2,1,0.8515508608479451,-0.5541955552282538,2, , ,-0.38773067268320055,2
1,28,3,1,12,24, , , ,1,6,5,90, , , ,5,2,2,2,1,0.8515508608479451,-0.5541955552282538,2, , ,-0.38773067268320055,2
1,28,4,1,12,24, , , ,1,3,90, , , , ,5,2,2,2,1,0.8515508608479451,-0.5541955552282538,2, , ,-0.38773067268320055,2
1,28,5,1,12,3, , , ,2, , , , , , ,5,2,2,2,1,0.8515508608479451,-0.5541955552282538,2, , ,-0.38773067268320055,2
2,1,1,1,12,23, , , ,1,1,5,90, , , ,3,2,2,2,1,0.6812406886783559,-0.040247797791587436,4, , ,0.40420272287260883,4
2,1,2,1,12,12, , , ,1,3,4,90, , , ,3,2,2,2,1,0.6812406886783559,-0.040247797791587436,4, , ,0.40420272287260883,4
2,1,3,1,12,95, , , ,1,2,90, , , , ,3,2,2,2,1,0.6812406886783559,-0.040247797791587436,4, , ,0.40420272287260883,4
2,2,1,1,12,2, , , ,1,4,6,7,90, , ,3,2,2,3,1,0.6812406886783559,-0.5291395298566943,2, , ,-0.34912226752039227,3
2,2,2,1,12,2, , , ,2, , , , , , ,3,2,2,3,1,0.6812406886783559,-0.5291395298566943,2, , ,-0.34912226752039227,3
2,2,3,1,12,12, , , ,2, , , , , , ,3,2,2,3,1,0.6812406886783559,-0.5291395298566943,2, , ,-0.34912226752039227,3
2,3,1,1,12,24, , , ,1,1,90, , , , ,2,2,2,3,1,0.6812406886783559,0.9287509275398347,5, , ,1.8973164484160625,5
2,3,2,1,12,24, , , ,1,2,90, , , , ,2,2,2,3,1,0.6812406886783559,0.9287509275398347,5, , ,1.8973164484160625,5
2,4,1,2,13,95, , , ,1,2,3,90, , , ,4,2,2,3,1,0.6812406886783559,1.3029077801379534,5, , ,2.4738484061122037,5
2,4,2,2,13,95, , , ,1,4,5,90, , , ,4,2,2,3,1,0.6812406886783559,1.3029077801379534,5, , ,2.4738484061122037,5
2,4,3,2,12,95, , , ,1,6,7,90, , , ,4,2,2,3,1,0.6812406886783559,1.3029077801379534,5, , ,2.4738484061122037,5
