HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,wscore,windex5,PSU,stratum,hhweight
97,4,6,1,11,1, , , ,2, , , , ,6,2,1,9,-0.7993069698139391,2,97,5,1.617169
97,5,1,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,2,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,3,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,4,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,5,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,6,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,7,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,5,8,1,11,0, , , ,2, , , , ,8,2,1,2,-0.36105963578505923,3,97,5,1.617169
97,6,1,1,11,1, , , ,2, , , , ,3,2,1,2,0.10539618028600879,4,97,5,1.617169
97,6,2,1,11,1, , , ,2, , , , ,3,2,1,2,0.10539618028600879,4,97,5,1.617169
97,6,3,1,11,1, , , ,2, , , , ,3,2,1,2,0.10539618028600879,4,97,5,1.617169
97,7,1,1,11,0, , , ,2, , , , ,2,2,1,1,-0.5995420156553748,3,97,5,1.617169
97,7,2,1,11,0, , , ,2, , , , ,2,2,1,1,-0.5995420156553748,3,97,5,1.617169
97,8,1,1,11,0, , , ,1,5,3,90, ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,2,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,3,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,4,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,5,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,6,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,7,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,8,1,11,0, , , ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,8,9,1,98,0,8,8, ,2, , , , ,9,2,1,1,-0.8767980707585303,2,97,5,1.617169
97,9,1,1,11,0, , , ,2, , , , ,1,2,1,1,-1.4426479077032908,1,97,5,1.617169
97,10,1,1,11,1, , , ,2, , , , ,1,2,1,2,-0.8620537717805946,2,97,5,1.617169
97,11,1,1,11,1, , , ,1,1,4,2,90,2,2,1,1,-0.5995450970435531,3,97,5,1.617169
97,11,2,1,11,1, , , ,2, , , , ,2,2,1,1,-0.5995450970435531,3,97,5,1.617169
97,12,1,1,11,1, , , ,2, , , , ,2,2,1,2,-0.756557159688813,2,97,5,1.617169
97,12,2,1,11,1, , , ,2, , , , ,2,2,1,2,-0.756557159688813,2,97,5,1.617169
97,13,1,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,2,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,3,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,4,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,5,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,6,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,7,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,13,8,1,11,1, , , ,2, , , , ,8,2,1,1,-0.4691132320602242,3,97,5,1.617169
97,14,1,1,11,95, , , ,1,5,4,90, ,6,2,1,2,-0.850388865615346,2,97,5,1.617169
97,14,2,1,11,0, , , ,2, , , , ,6,2,1,2,-0.850388865615346,2,97,5,1.617169
97,14,3,1,11,0, , , ,2, , , , ,6,2,1,2,-0.850388865615346,2,97,5,1.617169
97,14,4,1,11,98, , , ,2, , , , ,6,2,1,2,-0.850388865615346,2,97,5,1.617169
97,14,5,1,98,98,8,8, ,2, , , , ,6,2,1,2,-0.850388865615346,2,97,5,1.617169
97,14,6,1,98,98,8,8, ,2, , , , ,6,2,1,2,-0.850388865615346,2,97,5,1.617169
97,15,1,1,11,0, , , ,2, , , , ,3,2,1,1,-1.2715555232949622,1,97,5,1.617169
97,15,2,1,11,0, , , ,2, , , , ,3,2,1,1,-1.2715555232949622,1,97,5,1.617169
97,15,3,1,11,0, , , ,2, , , , ,3,2,1,1,-1.2715555232949622,1,97,5,1.617169
98,13,1,1,11,95, , , ,1,11,9,90, ,1,2,2,4,-0.5620273791117508,3,98,6,1.359647
108,8,1,1,11,95, , , ,1,1,2,90, ,1,1,2,4,-0.008172598561746654,4,108,2,1.057359
111,10,1,1,18,2, , , ,2, , , , ,1,2,2,1,-1.4869524309506448,1,111,6,1.359647
111,14,1,2,11,16, , , ,2, , , , ,1,2,2,2,-1.0244133856258724,2,111,6,1.359647
112,3,1,1,18,13, , , ,2, , , , ,1,2,2,4,-0.21105730046790858,3,112,6,1.359647
112,11,1,1,11,1, , , ,2, , , , ,1,2,2,2,-0.13206274225711265,4,112,6,1.359647
112,14,1,9,18,95, , , ,2, , , , ,1,2,2,5,0.3059262781056502,4,112,6,1.359647
114,15,1,1,11,24, , , ,2, , , , ,1,2,2,3,-0.9476936923165326,2,114,6,1.359647
117,9,1,1,18,24, , , ,2, , , , ,3,2,2,4,0.5458560574584431,4,117,6,1.359647
117,9,2,1,18,24, , , ,2, , , , ,3,2,2,4,0.5458560574584431,4,117,6,1.359647
117,9,3,1,18,24, , , ,2, , , , ,3,2,2,4,0.5458560574584431,4,117,6,1.359647
117,14,1,2,11,95, , , ,2, , , , ,2,2,2,3,1.3566681196652046,5,117,6,1.359647
117,14,2,2,11,95, , , ,2, , , , ,2,2,2,3,1.3566681196652046,5,117,6,1.359647
122,5,1,1,11,18, , , ,2, , , , ,1,2,2,1,-1.1007281768584602,1,122,6,1.359647
122,15,1,1,11,18, , , ,2, , , , ,1,2,2,1,0.3060384442987129,4,122,6,1.359647
127,14,1,1,16,95, , , ,2, , , , ,1,2,2,3,-0.2660712566291302,3,127,6,1.359647
128,7,1,1,98,95,8,1,95,2, , , , ,1,2,2,4,0.7658276441930852,5,128,6,1.359647
129,13,1,1,98,18,8,2, ,2, , , , ,1,2,2,3,0.027972260296161938,4,129,6,1.359647
130,6,1,1,11,95, , , ,2, , , , ,2,2,2,5,1.3860706351049692,5,130,6,1.359647
130,6,2,1,11,95, , , ,2, , , , ,2,2,2,5,1.3860706351049692,5,130,6,1.359647
130,15,1,1,11,11, , , ,2, , , , ,1,2,2,5,0.7636121796448312,5,130,6,1.359647
131,4,1,2,11,95, , , ,2, , , , ,1,2,2,5,1.7642451347439527,5,131,6,1.359647
134,9,1,1,18,14, , , ,8, , , , ,1,1,2,4,0.5894743548006901,4,134,2,1.057359
135,5,1,2,11,11, , , ,2, , , , ,2,1,2,9,-0.35588160248635287,3,135,2,1.057359
135,5,2,2,11,11, , , ,2, , , , ,2,1,2,9,-0.35588160248635287,3,135,2,1.057359
136,13,1,1,11,95, , , ,1,1,2,3,90,1,1,2,3,0.2929918571554879,4,136,2,1.057359
145,4,1,1,98,95,2,2, ,1,1,90, , ,1,1,2,4,0.5390411380368901,4,145,2,1.057359
145,10,1,1,11,24, , , ,1,1,90, , ,1,1,2,2,-0.4609669730163397,3,145,2,1.057359
147,11,1,1,11,95, , , ,2, , , , ,1,1,2,5,0.8039207825771044,5,147,2,1.057359
150,11,1,1,98,95,2,2, ,1,1,4,90, ,1,1,2,3,-0.5566762671779981,3,150,2,1.057359
151,9,1,1,98,95,2,2, ,1,1,90, , ,1,1,2,2,1.4699481262570944,5,151,2,1.057359
151,11,1,1,98,11,1,2, ,2, , , , ,1,1,2,3,1.012012757825613,5,151,2,1.057359
151,13,1,1,11,95, , , ,2, , , , ,1,1,2,2,1.0546111055068335,5,151,2,1.057359
153,2,1,1,98,7,8,2, ,2, , , , ,1,1,2,2,-0.30751954238183943,3,153,2,1.057359
155,4,1,1,98,24,8,2, ,2, , , , ,1,1,2,4,0.4761934864990329,4,155,2,1.057359
156,12,1,1,11,1, , , ,1,1,90, , ,1,1,2,1,0.5126282736191367,4,156,2,1.057359
157,14,1,1,26,95, ,2, ,2, , , , ,3,1,2,4,1.8904667339393728,5,157,2,1.057359
157,14,2,1,26,95, ,2, ,2, , , , ,3,1,2,4,1.8904667339393728,5,157,2,1.057359
157,14,3,1,26,95, ,2, ,2, , , , ,3,1,2,4,1.8904667339393728,5,157,2,1.057359
158,3,1,1,11,95, , , ,2, , , , ,1,1,2,5,1.4248440492802585,5,158,2,1.295265
158,5,1,1,11,95, , , ,1,2,90, , ,2,1,2,5,1.177723719668692,5,158,2,1.295265
158,5,2,1,11,95, , , ,1,1,3,90, ,2,1,2,5,1.177723719668692,5,158,2,1.295265
158,11,1,1,11,12, , , ,2, , , , ,1,1,2,4,1.029601535737733,5,158,2,1.295265
159,4,1,1,16,95, , , ,2, , , , ,1,1,2,5,0.9963293573246813,5,159,2,1.295265
161,2,1,2,11,95, , , ,2, , , , ,1,1,2,3,1.800263209688054,5,161,2,1.057359
163,5,1,1,31,11,1,2, ,2, , , , ,1,1,2,4,1.0422977386602503,5,163,2,1.057359
163,7,1,1,98,11,1,2, ,1,2,90, , ,1,1,2,5,1.4590410055835776,5,163,2,1.057359
163,12,1,1,11,1, , , ,2, , , , ,1,1,2,5,0.4114479254167018,4,163,2,1.057359
167,1,1,1,11,4, , , ,2, , , , ,1,1,2,4,1.5432418099767504,5,167,2,1.057359
167,9,1,1,31,95,8,2, ,2, , , , ,1,1,2,5,1.7531186281655924,5,167,2,1.057359
170,4,1,1,11,12, , , ,2, , , , ,1,1,2,5,1.4150620056322238,5,170,2,1.057359
171,9,1,1,98,1,8,2, ,2, , , , ,1,1,2,3,0.09608998479155531,4,171,2,1.057359
171,10,1,1,98,95,8,2, ,1,3,90, , ,1,1,2,9,0.312857234642285,4,171,2,1.057359
175,11,1,1,11,12, , , ,1,2,3,90, ,1,1,2,5,0.7818842185933698,5,175,2,1.057359
177,7,1,1,11,18, , , ,1,1,2,90, ,1,1,2,3,0.7072091345851538,5,177,2,1.057359
181,2,1,1,11,12, , , ,2, , , , ,1,1,2,2,0.7466816653178556,5,181,2,1.057359
181,9,1,1,11,4, , , ,2, , , , ,1,1,2,2,1.0960354037289253,5,181,2,1.057359
184,12,1,1,11,95, , , ,1,1,90, , ,1,1,2,5,0.6515640528938085,5,184,2,1.057359
184,15,1,1,11,1, , , ,1,1,90, , ,1,1,2,4,-0.21007246553864084,3,184,2,1.057359
186,7,1,1,11,8, , , ,2, , , , ,1,1,2,2,-0.3138662577483024,3,186,2,1.057359
187,13,1,1,11,1, , , ,1,1,90, , ,1,1,2,3,1.0631150015460236,5,187,2,1.057359
188,15,1,1,11,2, , , ,2, , , , ,1,1,2,5,0.5480159163558517,4,188,2,1.057359
192,1,1,1,11,0, , , ,2, , , , ,1,2,2,3,-0.40315379226998643,3,192,6,1.359647
192,8,1,1,98,95,8,2, ,2, , , , ,1,2,2,1,-0.612677935772689,3,192,6,1.359647
193,15,1,1,11,95, , , ,2, , , , ,2,2,2,5,1.599431524254144,5,193,6,1.359647
193,15,2,1,11,95, , , ,2, , , , ,2,2,2,5,1.599431524254144,5,193,6,1.359647
194,11,1,1,11,5, , , ,1,3,4,90, ,1,1,2,3,-0.3011302816942162,3,194,2,1.057359
194,13,1,1,98,3,8,2, ,1,1,90, , ,1,1,2,4,-0.34056346145250393,3,194,2,1.057359
194,14,1,1,98,95,8,2, ,2, , , , ,1,1,2,2,-0.27342361654136044,3,194,2,1.057359
195,3,1,1,11,95, , , ,2, , , , ,1,2,2,3,0.03613618242601799,4,195,6,1.359647
195,4,1,1,98,24,8,2, ,2, , , , ,1,2,2,3,1.2032723255387343,5,195,6,1.359647
195,6,1,1,18,10, , , ,2, , , , ,1,2,2,3,-0.7277683130931571,2,195,6,1.359647
196,5,1,1,11,95, , , ,2, , , , ,1,2,2,1,-1.352227193671196,1,196,6,1.359647
196,11,1,1,11,12, , , ,2, , , , ,1,2,2,3,-0.8962003006380406,2,196,6,1.359647
197,3,1,1,11,12, , , ,1,1,90, , ,1,2,2,2,-0.8200718984375842,2,197,6,1.359647
197,4,1,1,11,8, , , ,2, , , , ,3,2,2,2,-0.32004065093557704,3,197,6,1.359647
197,4,2,1,11,8, , , ,2, , , , ,3,2,2,2,-0.32004065093557704,3,197,6,1.359647
197,4,3,1,11,8, , , ,2, , , , ,3,2,2,2,-0.32004065093557704,3,197,6,1.359647
197,5,1,1,11,9, , , ,1,1,2,90, ,1,2,2,1,-1.1018487016824592,1,197,6,1.359647
197,6,1,1,18,98, , , ,1,1,90, , ,1,2,2,3,-0.636564825369469,3,197,6,1.359647
197,9,1,2,11,12, , , ,1,1,90, , ,1,2,2,1,-0.7554017320423548,2,197,6,1.359647
198,1,1,1,11,6, , , ,2, , , , ,1,1,2,4,0.3452350659315225,4,198,2,1.295265
198,5,1,2,18,95, , , ,2, , , , ,1,1,2,5,1.4167645929062889,5,198,2,1.295265
198,15,1,1,11,6, , , ,2, , , , ,1,1,2,5,0.6318581889808713,5,198,2,1.295265
211,10,1,1,16,24, , , ,2, , , , ,1,2,3,3,0.7632906322870595,5,211,7,0.970818
231,6,1,1,11,12, , , ,2, , , , ,2,1,3,5,1.6729846526730672,5,231,3,0.511717
231,6,2,1,11,12, , , ,2, , , , ,2,1,3,5,1.6729846526730672,5,231,3,0.511717
237,10,1,9,11,3, , , ,2, , , , ,1,1,3,5,1.3289540686318089,5,237,3,0.511717
260,12,1,1,16,95, , , ,2, , , , ,1,2,3,2,-0.8822310281971668,2,260,7,0.970818
262,3,1,1,11,95, , , ,2, , , , ,1,2,3,3,-1.754496153261144,1,262,7,0.970818
268,15,1,1,11,5, , , ,2, , , , ,1,2,3,2,-0.9451027759911127,2,268,7,0.970818
269,14,1,1,11,34, , , ,1,1,5,6,90,2,2,3,2,-1.56898869551524,1,269,7,0.970818
269,14,2,1,18,95, , , ,1,2,4,90, ,2,2,3,2,-1.56898869551524,1,269,7,0.970818
271,2,1,1,11,24, , , ,1,7,90, , ,1,2,3,2,-1.1377886570587643,1,271,7,0.970818
273,2,1,1,11,12, , , ,2, , , , ,1,2,3,2,-1.3123644493379751,1,273,7,0.970818
274,13,1,1,11,2, , , ,1,1,90, , ,1,2,3,1,-1.373019255985482,1,274,7,0.970818
275,14,1,1,11,12, , , ,2, , , , ,1,2,3,1,-0.0339777753991527,4,275,7,0.970818
277,12,1,1,11,13, , , ,2, , , , ,1,2,4,2,-1.1913106171445211,1,277,8,0.899704
279,8,1,1,11,24, , , ,2, , , , ,1,2,4,1,-0.1719124851576824,3,279,8,0.899704
279,9,1,2,98,95,2,1,11,2, , , , ,1,2,4,3,-0.4603892259535593,3,279,8,0.899704
279,12,1,1,16,95, , , ,2, , , , ,1,2,4,2,-1.0464283043892721,1,279,8,0.899704
280,5,1,1,11,98, , , ,2, , , , ,1,2,4,3,0.7556500231224589,5,280,8,0.899704
280,8,1,1,11,12, , , ,2, , , , ,1,2,4,2,-0.21658042351646398,3,280,8,0.899704
281,2,1,1,11,17, , , ,2, , , , ,1,2,4,1,0.4684060823701857,4,281,8,0.899704
281,14,1,1,11,1, , , ,2, , , , ,1,2,4,3,0.13779212806437802,4,281,8,0.899704
281,15,1,1,11,95, , , ,2, , , , ,1,2,4,3,-1.1125159502859872,1,281,8,0.899704
282,4,1,1,11,95, , , ,1,3,12,90, ,2,2,4,2,0.2108891056399443,4,282,8,0.899704
282,4,2,2,98,12,8,2, ,2, , , , ,2,2,4,2,0.2108891056399443,4,282,8,0.899704
282,9,1,1,11,24, , , ,2, , , , ,1,2,4,2,-0.1992019933689897,3,282,8,0.899704
