HH1,HH2,TNLN,TN3,TN4,TN5,TN10,TN12,TN13,TN15_1,TN15_2,TN15_3,TN15_4,TN1,TN2,HH4,HH6,HH7,ethnicity,helevel,hhweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
2,2,2,1,25,12,2, ,1,1,2,90, ,1,2,10,2,1,96,1,0.2915139602977914,0.20414303445914286,4,8, , , ,0.6109986284931007,5,9,2,1012
2,3,1,1,6,13,1, ,1,1,2,90, ,1,5,10,2,1,96,4,0.2915139602977914,-0.05893809342579287,4,7, , , ,0.23730384456563516,4,8,2,1012
2,3,2,1,6,13,1, ,1,3,90, , ,1,5,10,2,1,96,4,0.2915139602977914,-0.05893809342579287,4,7, , , ,0.23730384456563516,4,8,2,1012
2,3,3,1,6,13,1, ,1,4,90, , ,1,5,10,2,1,96,4,0.2915139602977914,-0.05893809342579287,4,7, , , ,0.23730384456563516,4,8,2,1012
2,3,4,1,98,13,1, ,1,5,90, , ,1,5,10,2,1,96,4,0.2915139602977914,-0.05893809342579287,4,7, , , ,0.23730384456563516,4,8,2,1012
2,3,5,1,98,13,1, ,2, , , , ,1,5,10,2,1,96,4,0.2915139602977914,-0.05893809342579287,4,7, , , ,0.23730384456563516,4,8,2,1012
2,4,1,1,2,12,1, ,1,1,2,90, ,1,3,10,2,1,96,1,0.2915139602977914,0.6553653585777373,5,9, , , ,1.2519394297979223,5,10,2,1012
2,4,2,1,2,12,1, ,1,3,4,6,90,1,3,10,2,1,96,1,0.2915139602977914,0.6553653585777373,5,9, , , ,1.2519394297979223,5,10,2,1012
2,4,3,1,2,12,1, ,1,5,90, , ,1,3,10,2,1,96,1,0.2915139602977914,0.6553653585777373,5,9, , , ,1.2519394297979223,5,10,2,1012
2,5,1,1,12,12,1, ,1,1,2,90, ,1,2,10,2,1,2,1,0.2915139602977914,-0.6558494344304615,2,3, , , ,-0.6105815829978146,2,3,2,1012
2,5,2,1,12,12,1, ,1,3,4,5,90,1,2,10,2,1,2,1,0.2915139602977914,-0.6558494344304615,2,3, , , ,-0.6105815829978146,2,3,2,1012
2,6,1,1,23,12,1, ,2, , , , ,1,6,10,2,1,96,3,0.2915139602977914,-0.36633573757656634,3,5, , , ,-0.19934053633034995,3,6,2,1012
2,6,2,1,23,12,1, ,2, , , , ,1,6,10,2,1,96,3,0.2915139602977914,-0.36633573757656634,3,5, , , ,-0.19934053633034995,3,6,2,1012
2,6,3,1,23,12,1, ,1,3,5,90, ,1,6,10,2,1,96,3,0.2915139602977914,-0.36633573757656634,3,5, , , ,-0.19934053633034995,3,6,2,1012
2,6,4,1,23,12,1, ,1,2,90, , ,1,6,10,2,1,96,3,0.2915139602977914,-0.36633573757656634,3,5, , , ,-0.19934053633034995,3,6,2,1012
2,6,5,1,23,12,1, ,1,4,7,90, ,1,6,10,2,1,96,3,0.2915139602977914,-0.36633573757656634,3,5, , , ,-0.19934053633034995,3,6,2,1012
2,6,6,1,23,12,1, ,1,0,90, , ,1,6,10,2,1,96,3,0.2915139602977914,-0.36633573757656634,3,5, , , ,-0.19934053633034995,3,6,2,1012
2,7,1,1,3,15,2, ,1,6,90, , ,1,2,10,2,1,96,1,0.2915139602977914,-0.4802253992881178,3,5, , , ,-0.3611156239888037,3,5,2,1012
2,7,2,1,18,12,1, ,1,2,90, , ,1,2,10,2,1,96,1,0.2915139602977914,-0.4802253992881178,3,5, , , ,-0.3611156239888037,3,5,2,1012
2,9,1,1,11,12,1, ,1,2,5,90, ,1,4,10,2,1,96,1,0.2915139602977914,0.8298650765552822,5,9, , , ,1.4998083473796622,5,10,2,1012
2,9,2,2,11,12,1, ,1,1,90, , ,1,4,10,2,1,96,1,0.2915139602977914,0.8298650765552822,5,9, , , ,1.4998083473796622,5,10,2,1012
2,9,3,2,11,12,1, ,1,3,90, , ,1,4,10,2,1,96,1,0.2915139602977914,0.8298650765552822,5,9, , , ,1.4998083473796622,5,10,2,1012
2,9,4,1,11,12,1, ,1,4,90, , ,1,4,10,2,1,96,1,0.2915139602977914,0.8298650765552822,5,9, , , ,1.4998083473796622,5,10,2,1012
2,10,1,1,1,11,1, ,1,1,90, , ,1,1,10,2,1,96,1,0.2915139602977914,2.7064941712095036,5,10, , , ,4.1654746750135,5,10,2,1012
2,11,1,1,5,15,2, ,1,1,2,90, ,1,1,10,2,1,96,1,0.2915139602977914,-0.6705937931019936,2,3, , , ,-0.6315252742926046,2,3,2,1012
2,13,1,1,2,13,1, ,1,1,2,90, ,1,5,10,2,1,96,1,0.2915139602977914,-0.6191514492760937,2,3, , , ,-0.5584537631762695,2,4,2,1012
2,13,2,1,2,13,1, ,1,3,9,90, ,1,5,10,2,1,96,1,0.2915139602977914,-0.6191514492760937,2,3, , , ,-0.5584537631762695,2,4,2,1012
2,13,3,1,2,13,1, ,1,5,7,8,90,1,5,10,2,1,96,1,0.2915139602977914,-0.6191514492760937,2,3, , , ,-0.5584537631762695,2,4,2,1012
2,13,4,1,2,13,1, ,1,6,90, , ,1,5,10,2,1,96,1,0.2915139602977914,-0.6191514492760937,2,3, , , ,-0.5584537631762695,2,4,2,1012
2,13,5,1,2,13,1, ,2, , , , ,1,5,10,2,1,96,1,0.2915139602977914,-0.6191514492760937,2,3, , , ,-0.5584537631762695,2,4,2,1012
2,14,1,1,11,12,1, ,1,1,90, , ,1,2,10,2,1,96,0,0.2915139602977914,-0.24147908952690142,3,6, , , ,-0.02198734307798496,4,7,2,1012
2,14,2,2,11,12,1, ,1,2,90, , ,1,2,10,2,1,96,0,0.2915139602977914,-0.24147908952690142,3,6, , , ,-0.02198734307798496,4,7,2,1012
2,15,1,1,8,12,1, ,1,4,90, , ,1,1,10,2,1,96,1,0.2915139602977914,-0.055470613814556285,4,7, , , ,0.2422292417406871,4,8,2,1012
2,17,1,1,2,14,3, ,1,1,2,8,90,1,5,10,2,1,96,4,0.2915139602977914,0.9953473382020519,5,9, , , ,1.7348683781279146,5,10,2,1012
