HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
4,22,1,9,98,95,2,2, ,2, , , , ,1,1,0,3,0.88115135437241,0.8932367544910059,4,-0.8863488150709041,1, , 
4,23,1,1,98,5,2,2, ,2, , , , ,3,1,0,3,0.88115135437241,1.6761194174559786,5,1.4927144722296448,5, , 
4,23,2,1,98,5,2,2, ,2, , , , ,3,1,0,3,0.88115135437241,1.6761194174559786,5,1.4927144722296448,5, , 
4,23,3,1,98,5,2,2, ,2, , , , ,3,1,0,3,0.88115135437241,1.6761194174559786,5,1.4927144722296448,5, , 
5,1,1,2,18,95, , , ,2, , , , ,1,1,0,4,1.0202521941313525,1.5098729955638157,5,0.9875164678814268,5, , 
5,3,1,2,98,95,2,2, ,2, , , , ,1,1,0,4,1.0202521941313525,1.5399032241842865,5,1.078773839898874,5, , 
5,4,1,2,98,95,2,2, ,2, , , , ,1,1,0,3,1.0202521941313525,1.4625679444769875,5,0.8437634948390469,4, , 
5,5,1,2,18,95, , , ,2, , , , ,1,1,0,4,1.0202521941313525,1.4320049136574446,5,0.750887016650051,4, , 
5,6,1,2,98,95,1,2, ,2, , , , ,2,1,0,4,1.0202521941313525,1.8518911188674203,5,2.0268583759796566,5, , 
5,6,2,2,98,95,1,2, ,2, , , , ,2,1,0,4,1.0202521941313525,1.8518911188674203,5,2.0268583759796566,5, , 
5,8,1,2,18,25, , , ,2, , , , ,2,1,0,4,1.0202521941313525,2.212422810521696,5,3.1224602485190474,5, , 
5,8,2,2,18,19, , , ,2, , , , ,2,1,0,4,1.0202521941313525,2.212422810521696,5,3.1224602485190474,5, , 
5,11,1,2,12,12, , , ,1,2,90, , ,1,1,0,4,1.0202521941313525,1.2609529845290213,5,0.23108579475279895,3, , 
5,14,1,2,98,95,1,2, ,2, , , , ,2,1,0,4,1.0202521941313525,2.1552540767692774,5,2.9487330195410255,5, , 
5,14,2,2,98,6,1,2, ,2, , , , ,2,1,0,4,1.0202521941313525,2.1552540767692774,5,2.9487330195410255,5, , 
5,15,1,2,98,95,2,2, ,2, , , , ,1,1,0,4,1.0202521941313525,1.6486518011577438,5,1.4092444956723633,5, , 
5,16,1,1,98,95,1,2, ,2, , , , ,1,1,0,4,1.0202521941313525,2.1041889981956072,5,2.7935538854960407,5, , 
5,20,1,2,98,5,8,2, ,1,1,90, , ,1,1,0,4,1.0202521941313525,1.8858161893440064,5,2.129951589698633,5, , 
5,21,1,2,98,95,8,2, ,2, , , , ,1,1,0,4,1.0202521941313525,1.0992620809499212,5,-0.26026867098365947,2, , 
5,23,1,2,98,24,1,2, ,2, , , , ,1,1,0,2,1.0202521941313525,1.3914998353099943,5,0.6277981434328352,4, , 
6,1,1,2,98,95,1,1,8,2, , , , ,2,1,0,3,0.997695598002598,1.5253091379006645,5,1.0344245950738993,5, , 
6,1,2,2,98,95,1,1,8,2, , , , ,2,1,0,3,0.997695598002598,1.5253091379006645,5,1.0344245950738993,5, , 
6,2,1,2,98,95,2,2, ,2, , , , ,2,1,0,3,0.997695598002598,1.5163314255993672,5,1.0071426705271571,5, , 
6,2,2,2,98,95,2,2, ,2, , , , ,2,1,0,3,0.997695598002598,1.5163314255993672,5,1.0071426705271571,5, , 
6,3,1,1,98,23,2,2, ,2, , , , ,2,1,0,4,0.997695598002598,1.8009792662851571,5,1.8721448727987346,5, , 
6,3,2,1,98,23,2,2, ,8, , , , ,2,1,0,4,0.997695598002598,1.8009792662851571,5,1.8721448727987346,5, , 
